Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;241.350;9.854;84.849;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Europe;Western Europe;49;DEU;Germany;BW;;Baden-Württemberg;;;;;10.483.012;26,19;2.746;10;;https://www.openstreetmap.org/#map=8/48.78232/09.17702&layers=T;48.78232;09.17702;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;BY;;Bayern;;;;;12.412.404;19,34;2.401;12;;https://www.openstreetmap.org/#map=8/48.13743/11.57549&layers=T;48.13743;11.57549;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;BE;;Berlin;;;;;3.291.932;22,21;731;0;;https://www.openstreetmap.org/#map=8/52.52437/13.41053&layers=T;52.52437;13.41053;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;BB;;Brandenburg;;;;;2.465.928;7,79;192;0;;https://www.openstreetmap.org/#map=8/52.39886/13.06566&layers=T;52.39886;13.06566;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;HB;;Bremen;;;;;650.715;18,59;121;0;;https://www.openstreetmap.org/#map=8/53.07363/08.80642&layers=T;53.07363;08.80642;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;HH;;Hamburg;;;;;1.675.840;34,97;586;0;;https://www.openstreetmap.org/#map=8/53.55108/09.99368&layers=T;53.55108;09.99368;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;HE;;Hessen;;;;;5.988.463;13,58;813;1;;https://www.openstreetmap.org/#map=8/50.07821/08.23976&layers=T;50.07821;08.23976;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;MV;;Mecklenburg-Vorpommern;;;;;1.620.815;8,08;131;0;;https://www.openstreetmap.org/#map=8/53.62959/11.41476&layers=T;53.62959;11.41476;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;NI;;Niedersachsen;;;;;7.790.533;10,31;803;0;;https://www.openstreetmap.org/#map=8/52.37392/09.73560&layers=T;52.37392;09.73560;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;NW;;Nordrhein-Westfalen;;;;;17.557.361;19,92;3.497;6;;https://www.openstreetmap.org/#map=8/51.21794/06.76168&layers=T;51.21794;06.76168;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;RP;;Rheinland-Pfalz;;;;;3.998.474;20,03;801;1;;https://www.openstreetmap.org/#map=8/49.99889/08.27394&layers=T;49.99889;08.27394;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;SL;;Saarland;;;;;1.000.446;14,59;146;0;;https://www.openstreetmap.org/#map=8/49.23333/07.00000&layers=T;49.23333;07.00000;
2020-03-20 09:56;Europe;Western Europe;49;DEU;Germany;SN;;Sachsen;;;;;4.065.743;9,69;394;0;;https://www.openstreetmap.org/#map=8/51.05040/13.73726&layers=T;51.05040;13.73726;
