Continent;Region;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;2/1/20;2/2/20;2/3/20;2/4/20;2/5/20;2/6/20;2/7/20;2/8/20;2/9/20;2/10/20;2/11/20;2/12/20;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;3/1/20;3/2/20;3/3/20;3/4/20;3/5/20;3/6/20;3/7/20;3/8/20;3/9/20;3/10/20;3/11/20;3/12/20;3/13/20;3/14/20;3/15/20;3/16/20;3/17/20;3/18/20;3/19/20;0;0
Africa;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;4;8;11;21;24;43;43;83;91;104;119;135;182;260;321;410;494;616;798;0;0
Asia;;6;9;17;23;30;35;49;56;67;87;100;108;111;129;138;172;156;176;186;197;202;207;217;227;249;273;286;299;315;402;531;791;1.006;1.275;1.501;1.890;2.547;3.290;4.361;5.385;6.557;8.298;9.407;10.533;12.420;14.078;15.246;16.081;17.250;18.994;20.279;22.116;24.005;25.916;27.477;29.559;31.553;33.985;0;0
Americas;;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;69;72;76;94;112;139;165;207;285;357;515;671;760;1.161;1.561;1.991;2.762;3.424;4.341;5.908;8.130;9.962;16.597;0;0
Europe;;0;0;2;3;3;3;4;6;6;13;15;15;15;16;16;16;18;23;24;29;29;30;30;30;31;31;31;31;31;31;48;90;183;261;364;514;759;1.046;1.387;2.073;2.571;3.163;4.076;5.257;6.844;8.852;11.155;13.801;16.925;21.533;22.099;34.609;41.888;49.063;58.340;67.478;78.042;93.410;0;0
Oceania;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;19;22;22;22;22;22;23;24;26;28;31;40;55;58;64;68;81;96;112;133;133;208;259;311;391;470;596;730;0;0
CHN;;548;643;920;1.406;2.075;2.877;5.509;6.087;8.141;9.802;11.891;16.630;19.716;23.707;27.440;30.587;34.110;36.814;39.829;42.354;44.386;44.759;59.895;66.358;68.413;70.513;72.434;74.211;74.619;75.077;75.550;77.001;77.022;77.241;77.754;78.166;78.600;78.928;79.356;79.932;80.136;80.261;80.386;80.537;80.690;80.770;80.823;80.860;80.887;80.921;80.932;80.945;80.977;81.003;81.033;81.058;81.102;81.156;0;0
DEU;;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196;262;482;670;799;1.040;1.176;1.457;1.908;2.078;3.675;4.585;5.795;7.272;9.257;12.327;15.320;0;0
