Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Doubletten;;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.416.473.160;USA;;4,53;335.957;14.634;97.882;;;;292
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2020-03-22 22:43;Europe;Northern Europe;44;GBR;United Kingdom;;X;;;;;;66.435.600;GBR;0;8,55;5.683;281;65;https://www.openstreetmap.org/#map=5/55.3781/-3.4360&layers=T;55.3781;-3.4360;10
2020-03-22 14:13;Europe;Western Europe;31;NLD;Netherlands;;X;;;;;;17.439.481;NLD;0;24,11;4.204;179;2;https://www.openstreetmap.org/#map=5/52.1326/5.2913&layers=T;52.1326;5.2913;11
2020-03-22 14:13;Europe;Western Europe;32;BEL;Belgium;;;;;;;;11.524.454;BEL;0;29,51;3.401;75;263;https://www.openstreetmap.org/#map=5/50.5039/4.4699&layers=T;50.5039;4.4699;12
2020-03-22 23:43;Europe;Western Europe;43;AUT;Austria;;;;;;;;8.902.600;AUT;0;36,44;3.244;16;9;https://www.openstreetmap.org/#map=5/47.5162/14.5501&layers=T;47.5162;14.5501;13
2020-03-22 23:13;Europe;Northern Europe;47;NOR;Norway;;;;;;;;5.367.580;NOR;0;44,40;2.383;7;1;https://www.openstreetmap.org/#map=5/60.4720/8.4689&layers=T;60.4720;8.4689;14
2020-03-22 23:13;Americas;Northern America;1;USA;United States;WA;;Washington;;;;;6.724.540;USA_WA;0;29,68;1.996;95;0;https://www.openstreetmap.org/#map=5/47.4009/-121.4905&layers=T;47.4009;-121.4905;15
2020-03-22 16:43;Europe;Northern Europe;46;SWE;Sweden;;;;;;;;10.327.589;SWE;0;18,73;1.934;21;16;https://www.openstreetmap.org/#map=5/60.1282/18.6435&layers=T;60.1282;18.6435;16
2020-03-22 19:43;Americas;Northern America;1;USA;United States;NJ;;New Jersey;;;;;8.791.894;USA_NJ;0;21,77;1.914;20;0;https://www.openstreetmap.org/#map=5/40.2989/-74.5210&layers=T;40.2989;-74.5210;17
2020-03-22 22:13;Americas;Northern America;1;USA;United States;CA;;California;;;;;37.253.956;USA_CA;0;4,41;1.642;30;0;https://www.openstreetmap.org/#map=5/36.1162/-119.6816&layers=T;36.1162;-119.6816;18
2020-03-22 14:13;Europe;Southern Europe;351;PRT;Portugal;;;;;;;;10.276.617;PRT;0;15,57;1.600;14;5;https://www.openstreetmap.org/#map=5/39.3999/-8.2245&layers=T;39.3999;-8.2245;19
2020-03-22 23:43;Americas;South America;55;BRA;Brazil;;;;;;;;211.191.084;BRA;0;0,75;1.593;25;2;https://www.openstreetmap.org/#map=5/-14.2350/-51.9253&layers=T;-14.2350;-51.9253;20
2020-03-22 02:43;Asia;Eastern Asia;86;CHN;China;粤;;Guangdong;;;;;113.460.000;CHN_粤;0;1,24;1.407;8;1.329;https://www.openstreetmap.org/#map=5/23.3417/113.4244&layers=T;23.3417;113.4244;21
2020-03-22 14:43;Europe;Northern Europe;45;DNK;Denmark;;X;;;;;;5.822.763;DNK;0;23,96;1.395;13;1;https://www.openstreetmap.org/#map=5/56.2639/9.5018&layers=T;56.2639;9.5018;22
