Last Update;ID;Confirmed;Deaths;Recovered
;;;;
;;;;
;;;;
;;22.672;86;0
2020-03-23 09:00;BW;3.811;21;
2020-03-23 09:00;BY;4.892;26;
2020-03-23 09:00;BE;1.077;1;
2020-03-23 09:00;BB;288;0;
2020-03-23 09:00;HB;170;0;
2020-03-23 09:00;HH;943;0;
2020-03-23 09:00;HE;1.347;3;
2020-03-23 09:00;MV;172;0;
2020-03-23 09:00;NI;1.483;4;
2020-03-23 09:00;NW;5.615;28;
2020-03-23 09:00;RP;1.177;2;
2020-03-23 09:00;SL;200;0;
2020-03-23 09:00;SN;653;0;
2020-03-23 09:00;ST;212;0;
2020-03-23 09:00;SH;383;1;
2020-03-23 09:00;TH;249;0;
2020-03-23 09:00;REP;0;0;
