Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;#
Asia;Eastern Asia;86;CHN;China;云;;Yunnan;;;;;48.300.000;81
Asia;Eastern Asia;86;CHN;China;浙;;Zhejiang;;;;;57.370.000;82
Americas;South America;57;COL;Colombia;;;;;;;;49.395.678;83
Africa;Middle Africa;242;COG;Congo Republic;;;;;;;;5.380.508;84
Africa;Middle Africa;243;COD;DR Congo;;;;;;;;86.790.567;85
Americas;Central America;506;CRI;Costa Rica;;;;;;;;5.058.007;86
Africa;Western Africa;225;CIV;Côte d'Ivoire;;;;;;;;25.823.071;87
Europe;Southern Europe;385;HRV;Croatia;;;;;;;;4.076.246;88
In;Between;5;IC;International Conveyance;DP;X;Diamond Princess;;;;;3.700;89
Americas;Caribbean;53;CUB;Cuba;;;;;;;;11.209.628;90
Asia;Western Asia;357;CYP;Cyprus;;;;;;;;875.900;91
Europe;Eastern Europe;420;CZE;Czechia;;;;;;;;10.681.161;92
Europe;Northern Europe;298;FRO;Faroe Islands;;X;;;;;;52.124;93
Americas;Northern America;299;GRL;Greenland;;X;;;;;;56.081;94
Europe;Northern Europe;45;DNK;Denmark;;;;;;;;5.822.763;95
Africa;Eastern Africa;253;DJI;Djibouti;;;;;;;;1.078.373;96
Americas;Caribbean;1;DOM;Dominican Republic;;;;;;;;10.358.320;97
Americas;South America;593;ECU;Ecuador;;;;;;;;17.434.416;98
Africa;Northern Africa;20;EGY;Egypt;;;;;;;;100.072.195;99
Americas;Central America;503;SLV;El Salvador;;;;;;;;6.704.864;100
Africa;Middle Africa;240;GNQ;Equatorial Guinea;;;;;;;;1.358.276;101
Africa;Eastern Africa;291;ERI;Eritrea;;;;;;;;3.497.117;102
Europe;Northern Europe;372;EST;Estonia;;;;;;;;1.328.360;103
Africa;Southern Africa;268;SWZ;Eswatini;;;;;;;;1.093.238;104
Africa;Eastern Africa;251;ETH;Ethiopia;;;;;;;;98.665.000;105
Oceania;Melanesia;679;FJI;Fiji;;;;;;;;884.887;106
Europe;Northern Europe;358;FIN;Finland;;;;;;;;5.527.573;107
Americas;South America;594;GUF;French Guiana;;X;;;;;;290.691;108
Oceania;Polynesia;689;PYF;French Polynesia;;X;;;;;;275.918;109
Americas;Caribbean;590;GLP;Guadeloupe;;X;;;;;;395.700;110
Africa;Eastern Africa;262;MYT;Mayotte;;X;;;;;;279.471;111
Oceania;Melanesia;687;NCL;New Caledonia;;X;;;;;;282.200;112
Africa;Eastern Africa;262;REU;Réunion;;X;;;;;;853.659;113
Americas;Caribbean;590;BLM;Saint Barthélemy;;X;;;;;;9.793;114
Americas;Caribbean;590;MAF;Saint Martin;;X;;;;;;35.746;115
Americas;Caribbean;596;MTQ;Martinique;;X;;;;;;376.480;116
Europe;Western Europe;33;FRA;France;;;;;;;;67.064.000;117
Africa;Middle Africa;241;GAB;Gabon;;;;;;;;2.172.579;118
Africa;Western Africa;220;GMB;Gambia;;;;;;;;2.347.706;119
Asia;Western Asia;995;GEO;Georgia;;;;;;;;3.723.464;120
Europe;Western Europe;49;DEU;Germany;;;;;;;;83.149.300;121
Africa;Western Africa;233;GHA;Ghana;;;;;;;;30.280.811;122
Europe;Southern Europe;30;GRC;Greece;;;;;;;;10.724.599;123
Americas;Central America;502;GTM;Guatemala;;;;;;;;16.604.026;124
Africa;Western Africa;224;GIN;Guinea;;;;;;;;12.218.357;125
Americas;South America;592;GUY;Guyana;;;;;;;;782.766;126
Americas;Caribbean;509;HTI;Haiti;;;;;;;;11.577.779;127
Europe;Southern Europe;39;VAT;Holy See;;;;;;;;799;128
Americas;Central America;504;HND;Honduras;;;;;;;;9.158.345;129
Europe;Eastern Europe;36;HUN;Hungary;;;;;;;;9.772.756;130
Europe;Northern Europe;354;ISL;Iceland;;;;;;;;364.260;131
Asia;Southern Asia;91;IND;India;;;;;;;;1.359.238.350;132
Asia;South-eastern Asia;62;IDN;Indonesia;;;;;;;;266.911.900;133
Asia;Southern Asia;98;IRN;Iran;;;;;;;;83.241.033;134
Asia;Western Asia;964;IRQ;Iraq;;;;;;;;39.127.900;135
Europe;Northern Europe;353;IRL;Ireland;;;;;;;;4.921.500;136
Asia;Western Asia;972;ISR;Israel;;;;;;;;9.166.000;137
Europe;Southern Europe;39;ITA;Italy;;;;;;;;60.247.214;138
Americas;Caribbean;1;JAM;Jamaica;;;;;;;;2.726.667;139
Asia;Eastern Asia;81;JPN;Japan;;;;;;;;126.010.000;140
Asia;Western Asia;962;JOR;Jordan;;;;;;;;10.625.504;141
Asia;Central Asia;7;KAZ;Kazakhstan;;;;;;;;18.654.144;142
Africa;Eastern Africa;254;KEN;Kenya;;;;;;;;47.564.296;143
Asia;Eastern Asia;82;KOR;South Korea;;;;;;;;51.780.579;144
Asia;Western Asia;965;KWT;Kuwait;;;;;;;;4.420.110;145
Asia;Central Asia;996;KGZ;Kyrgyzstan;;;;;;;;6.490.300;146
Europe;Northern Europe;371;LVA;Latvia;;;;;;;;1.906.800;147
Asia;Western Asia;961;LBN;Lebanon;;;;;;;;6.855.713;148
Africa;Western Africa;231;LBR;Liberia;;;;;;;;4.475.353;149
Europe;Western Europe;423;LIE;Liechtenstein;;;;;;;;38.557;150
Europe;Northern Europe;370;LTU;Lithuania;;;;;;;;2.793.350;151
Europe;Western Europe;352;LUX;Luxembourg;;;;;;;;613.894;152
