Continent;Region;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28;20/3/29;20/3/30;20/3/31;20/4/1;20/4/2;20/4/3;20/4/4;20/4/5;20/4/6;20/4/7;20/4/8;20/4/9;20/4/10;20/4/11;20/4/12;20/4/13;20/4/14;20/4/15
Africa;;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;4;8;11;21;24;43;43;83;91;104;119;135;182;260;321;410;494;616;798;1.003;1.224;1.512;1.913;2.380;2.920;3.497;4.080;4.471;5.032;5.502;6.122;6.755;7.456;8.362;9.060;9.793;10.499;11.165;11.969;12.799;13.490;14.215;15.082;15.879;16.852;17.806
Asia;;305;330;346;361;378;470;599;860;1.080;1.354;1.585;1.981;2.639;3.384;4.456;5.481;6.657;8.398;9.512;10.642;12.534;14.202;15.376;16.215;17.388;19.120;20.407;22.252;24.142;26.061;27.671;29.673;31.646;33.987;36.305;38.998;42.098;45.172;48.831;54.166;59.578;66.587;73.879;81.182;88.148;96.888;105.402;114.655;123.265;132.195;141.488;152.095;161.544;171.051;181.306;192.611;204.442;216.016;227.786;238.816;250.282
Americas;;20;20;21;21;21;21;24;24;24;61;62;69;72;76;94;112;139;165;207;285;357;515;671;760;1.161;1.561;1.991;2.762;3.424;4.344;5.911;8.133;9.967;16.679;23.146;30.748;40.105;52.316;63.893;77.531;97.888;117.938;140.498;162.189;185.621;215.906;244.950;279.914;315.421;352.098;385.681;418.757;453.159;493.086;532.200;575.001;609.846;643.595;675.276;707.368;743.416
Europe;;31;31;31;31;31;31;48;90;183;261;364;514;759;1.046;1.387;2.073;2.571;3.163;4.076;5.257;6.844;8.852;11.155;13.801;16.925;21.533;22.099;34.609;41.888;49.061;58.338;67.476;78.041;93.408;109.355;128.436;144.859;166.110;185.799;211.136;239.506;268.163;297.856;322.898;348.996;379.220;409.680;438.320;469.060;518.991;545.799;570.925;602.924;631.826;660.800;698.188;727.666;753.547;777.590;790.909;818.820
Oceania;;15;15;15;15;15;15;15;15;15;15;15;15;15;16;26;28;31;40;55;58;64;68;81;96;112;133;133;208;259;308;388;467;591;718;845;1.144;1.676;1.814;2.239;2.614;3.143;3.562;4.142;4.549;5.007;5.264;5.629;5.976;6.263;6.570;6.798;6.979;7.137;7.306;7.433;7.585;7.702;7.734;7.791;7.872;7.917
CHN;;68.357;70.456;72.374;74.149;74.556;75.009;75.482;76.932;76.948;77.162;77.670;78.075;78.508;78.834;79.261;79.836;80.036;80.161;80.281;80.432;80.583;80.662;80.709;80.745;80.767;80.795;80.803;80.811;80.837;80.858;80.878;80.896;80.921;80.948;80.994;81.032;81.118;81.142;81.205;81.251;81.329;81.378;81.438;81.481;81.516;81.565;81.596;81.630;81.666;81.681;81.712;81.751;81.783;81.849;81.910;81.952;82.014;82.130;82.204;82.294;82.339
DEU;;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196;262;482;670;799;1.040;1.176;1.457;1.908;2.078;3.675;4.585;5.795;7.272;9.257;12.327;15.320;19.848;22.213;24.873;29.056;32.986;37.323;43.938;50.871;57.695;62.095;66.885;71.808;77.872;84.794;91.159;96.092;100.123;103.374;107.663;113.296;118.181;122.171;124.908;127.854;130.072;131.359;134.753
