ID;Bundesland;Bevölkerung;Infiziert;Verstorben;28.02.20 10:00;29.02.20 10:00;01.03.20 10:00;01.03.20 15:00;02.03.20 10:00;02.03.20 15:00;03.03.20 10:00;03.03.20 15:00;04.03.20 10:00;04.03.20 15:00;05.03.20 08:00;05.03.20 15:00;06.03.20 07:00;06.03.20 15:00;07.03.20 08:00;07.03.20 15:00;08.03.20 08:00;08.03.20 15:00;09.03.20 08:00;09.03.20 15:00;;10.03.20 15:00;;11.03.20 15:00;;12.03.20 15:00;;13.03.20 15:00;;14.03.20 15:00;;15.03.20 15:00;;16.03.20 15:00;;17.03.20 19:52;;18.03.20 14:33;;19.03.20 10:00;;20.03.20 09:56;;21.03.20 10:00;;22.03.20 10:00;;23.03.20 09:00;;24.03.20 22:54;;25.03.20 16:01;;;;26.03.20 22:19;;27.03.20 11:00;;28.03.20 11:06;;29.03.20 14:05;;30.03.20 11:09;;31.03.20 12:47;;01.04.20 22:06;;02.04.20 10:15;;03.04.20 12:15;;04.04.20 14:09;;05.04.20 13:36;;06.04.20 13:36;;07.04.20 12:14;;08.04.20 11:10;;09.04.20 12:49;;10.04.20 14:18;;11.04.20 22:27;;12.04.20 14:47;;13.04.20 19:56;;14.04.20 12:57;;15.04.20 12:14;;16.04.20 12:43;;;;;;;;
;;;;;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;;Tote;;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Heile
;;80.322.251;0,162 %;2,74 %;53;66;117;129;150;157;188;196;240;262;349;400;534;639;684;795;847;902;1.112;1.139;2;1.296;2;1.567;3;2.369;5;3.062;5;3.795;8;4.838;12;6.012;13;7.156;12;8.198;12;10.999;20;13.957;31;16.662;46;18.610;55;22.672;86;27.436;114;31.554;0,039 %;149;0,47 %;36.508;198;42.288;253;48.582;325;52.547;389;57.298;455;61.913;583;67.366;732;73.522;872;79.696;1.017;85.778;1.158;91.714;1.342;95.391;1.434;99.225;1.607;103.228;1.861;108.202;2.107;113.525;2.373;117.658;2.544;120.479;2.673;123.016;2.799;125.098;2.969;127.584;3.254;130.450;3.569;0;0;0;0;0;0;0
NI;Niedersachsen;7.790.533;-0,057 %;3,03 %;;;1;1;1;1;1;2;4;7;10;18;18;18;19;19;21;21;33;38;0;49;0;75;0;129;0;230;0;253;0;287;0;391;0;325;0;478;0;669;0;803;0;1.023;0;1.306;1;1.483;4;1.764;6;2.140;-0,012 %;7;0,33 %;2.347;8;2.810;10;3.150;12;3.450;21;3.732;26;4.063;34;4.382;42;4.695;45;5.081;65;5.571;85;5.712;89;5.960;92;6.200;111;6.385;121;6.804;141;7.114;161;7.343;171;7.602;189;7.723;201;7.885;211;8.019;224;8.188;248;;0;;0;;0;
NW;Nordrhein-Westfalen;17.557.361;-0,012 %;2,51 %;25;30;66;74;86;90;101;103;111;115;175;181;281;329;346;373;392;398;484;484;2;484;2;484;3;688;3;936;3;1.154;5;1.407;5;1.541;5;2.105;6;2.372;6;3.033;6;3.497;6;3.542;6;3.545;6;5.615;28;6.318;33;7.197;0,002 %;43;0,60 %;7.924;53;9.235;72;10.607;80;11.400;98;12.178;101;13.225;117;14.351;134;15.427;161;16.606;178;17.885;200;18.735;245;19.384;255;20.220;282;20.929;348;21.961;384;23.028;446;23.644;472;24.267;495;24.883;518;25.300;545;25.835;607;26.383;663;;0;;0;;0;
RP;Rheinland-Pfalz;3.998.474;-0,035 %;1,71 %;;1;2;2;2;2;2;2;2;7;7;8;8;10;10;13;15;19;19;17;0;25;0;25;0;52;0;102;0;121;0;168;0;325;0;442;0;474;0;637;0;801;1;938;1;1.053;2;1.177;2;1.370;5;1.591;0,001 %;5;0,31 %;1.816;6;1.971;8;2.212;11;2.396;12;2.584;18;2.726;19;2.899;23;3.132;26;3.362;26;3.504;29;3.663;32;3.882;32;3.992;34;4.148;45;4.336;50;4.440;51;4.622;59;4.734;64;4.810;68;4.880;70;5.004;77;5.087;87;;0;;0;;0;
SL;Saarland;1.000.446;0,058 %;3,23 %;;;;;;0;0;0;1;1;1;1;1;2;2;3;4;4;5;6;0;7;0;14;0;14;0;40;0;40;0;32;0;85;0;75;0;88;0;99;0;146;0;187;0;187;0;200;0;337;1;403;0,001 %;2;0,50 %;433;2;505;2;550;2;560;2;706;7;782;7;829;8;1.020;11;1.079;12;1.265;14;1.358;14;1.483;14;1.532;16;1.637;23;1.693;23;1.854;36;2.016;41;2.058;43;2.079;44;2.112;52;2.145;58;2.201;71;;0;;0;;0;
SN;Sachsen;4.065.743;-0,065 %;2,38 %;;;;;;;1;1;1;1;1;1;1;2;2;4;4;7;10;12;0;22;0;26;0;45;0;83;0;93;0;130;0;140;0;182;0;198;0;275;0;394;0;567;0;606;0;653;0;811;1;959;-0,016 %;6;0,63 %;1.141;7;1.305;7;1.432;9;1.617;9;1.795;9;1.882;12;2.034;17;2.183;18;2.336;21;2.591;24;2.741;32;2.903;34;2.997;38;3.144;50;3.261;52;3.402;59;3.565;65;3.600;67;3.655;68;3.751;70;3.819;73;3.955;94;;0;;0;;0;
ST;Sachsen-Anhalt;2.290.034;-0,108 %;2,08 %;;;;;;0;;;;0;;;0;0;0;0;0;0;0;0;0;7;0;15;0;27;0;42;0;45;0;47;0;77;0;58;0;105;0;140;0;180;0;188;;211;0;212;0;321;0;375;-0,023 %;1;0,27 %;418;1;458;2;458;2;592;2;592;2;680;6;750;7;804;8;836;11;896;11;919;12;956;12;987;12;1.020;16;1.075;16;1.121;18;1.135;18;1.166;21;1.193;24;1.207;25;1.223;26;1.248;26;;0;;0;;0;
SH;Schleswig-Holstein;2.838.231;-0,082 %;2,40 %;1;1;2;2;2;2;2;2;2;2;3;7;7;7;8;8;8;9;9;9;0;9;0;27;0;31;0;48;0;60;0;103;0;123;0;127;0;159;0;202;0;266;1;308;1;347;1;383;1;478;2;577;-0,019 %;3;0,52 %;675;3;812;4;915;4;1.005;6;1.049;7;1.120;9;1.246;10;1.335;11;1.443;15;1.559;17;1.631;18;1.671;20;1.730;24;1.827;28;1.932;34;2.029;38;2.065;39;2.118;41;2.134;44;2.164;49;2.245;54;2.294;55;;0;;0;;0;
TH;Thüringen;2.192.320;-0,089 %;2,81 %;;;;;;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;0;4;0;10;0;14;0;29;0;46;0;51;0;55;0;51;0;74;0;98;0;149;0;187;0;216;0;249;0;327;1;394;-0,021 %;1;0,25 %;468;3;542;4;584;5;697;5;719;5;784;6;860;6;925;7;982;9;1.072;10;1.140;10;1.176;12;1.208;18;1.285;20;1.351;20;1.416;24;1.435;25;1.464;25;1.485;27;1.504;31;1.550;38;1.601;45;;0;;0;;0;
REP;Repatriierte;0;;;2;2;2;2;2;2;2;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;27;;29;;31;;33;;35;;37;;39;;41;;43;;45;;47;;49;;51;;53;;55;;57;;;;61;;63;;65;;67;;69;;71;;73;;75;;77;;79;;81;;83;;85;;87;;89;;91;;93;;95;;97;;99;;101;;103;;0;;0;;0;;
