Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;195.067;7.893;80.773;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;BW;;Baden-Württemberg;;;;;10.483.012;14,11;1.479;2;;https://www.openstreetmap.org/#map=8/52,4009309/13,0591397&layers=T;52,4009309;13,0591397;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;BY;;Bayern;;;;;12.412.404;8,93;1.109;4;;https://www.openstreetmap.org/#map=8/52,5170365/13,3888599&layers=T;52,5170365;13,3888599;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;BE;;Berlin;;;;;3.291.932;10,48;345;0;;https://www.openstreetmap.org/#map=8/48,7784485/9,1800132&layers=T;48,7784485;9,1800132;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;BB;;Brandenburg;;;;;2.465.928;2,96;73;0;;https://www.openstreetmap.org/#map=8/48,14/11,15477&layers=T;48,14;11,15477;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;HB;;Bremen;;;;;650.715;8,76;57;0;;https://www.openstreetmap.org/#map=8/53,3057/8,7362&layers=T;53,3057;8,7362;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;HH;;Hamburg;;;;;1.675.840;18,50;310;0;;https://www.openstreetmap.org/#map=8/50,0823/8,2417&layers=T;50,0823;8,2417;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;HE;;Hessen;;;;;5.988.463;6,23;373;0;;https://www.openstreetmap.org/#map=8/53,621/10,01&layers=T;53,621;10,01;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;MV;;Mecklenburg-Vorpommern;;;;;1.620.815;2,78;45;0;;https://www.openstreetmap.org/#map=8/53,6159/11,4008&layers=T;53,6159;11,4008;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;NI;;Niedersachsen;;;;;7.790.533;4,17;325;0;;https://www.openstreetmap.org/#map=8/52,3798/9,7614&layers=T;52,3798;9,7614;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;NW;;Nordrhein-Westfalen;;;;;17.557.361;11,99;2.105;6;;https://www.openstreetmap.org/#map=8/51,2254018/6,7763137&layers=T;51,2254018;6,7763137;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;RP;;Rheinland-Pfalz;;;;;3.998.474;11,05;442;0;;https://www.openstreetmap.org/#map=8/50,0012314/8,2762513&layers=T;50,0012314;8,2762513;
2020-03-17 19:52;Europe;Western Europe;49;DEU;Germany;SL;;Saarland;;;;;1.000.446;7,50;75;0;;https://www.openstreetmap.org/#map=8/54,3227085/10,135555&layers=T;54,3227085;10,135555;
