Last Update,Continent,Region,ICC,ID,Country,ID,,Province,ID,District,ZIP,Area,Population,Confirmed,Deaths,Recovered,#,
2020-03-11T20:00:00,Oceania,Oceania,61,AUS,Australia,ACT,,Australian Capital Territory,,,,,426709,1,0,0,53,
2020-03-11T20:00:00,Europe,Western Europe,49,DEU,Germany,,,,,,,,83149300,3675,7,46,54,
2020-03-11T20:00:00,Africa,Middle Africa,243,COD,DR Congo,,,,,,,,86790567,2,0,0,55,
2020-03-11T20:00:00,Americas,Central America,504,HND,Honduras,,,,,,,,9158345,2,0,0,56,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,98,,Diamond Princess,,,,,46,46,0,0,57,
2020-03-11T20:00:00,Africa,Northern Africa,213,DZA,Algeria,,,,,,,,43000000,26,2,8,58,
2020-03-11T20:00:00,Africa,Eastern Africa,262,REU,Réunion,,,,,,,,853659,5,0,0,59,
2020-03-11T20:00:00,Asia,Western Asia,968,OMN,Oman,,,,,,,,4664790,19,0,9,60,
2020-03-11T20:00:00,In,Between,5,IC,International Conveyance,1,,Diamond Princess,,,,,3700,696,7,325,61,
2020-03-11T20:00:00,Americas,Northern America,1,CAN,Canada,NB,,New Brunswick,,,,,780021,1,0,0,62,
2020-03-11T20:00:00,Europe,Southern Europe,39,ITA,Italy,,,,,,,,60247214,17660,1266,1439,63,
2020-03-11T20:00:00,Asia,Western Asia,964,IRQ,Iraq,,,,,,,,39127900,101,9,24,64,
2020-03-11T20:00:00,Asia,Western Asia,961,LBN,Lebanon,,,,,,,,6855713,77,3,1,65,
2020-03-11T20:00:00,Oceania,Oceania,61,AUS,Australia,EXT,,From Diamond Princess,,,,,0,0,0,0,66,
2020-03-11T20:00:00,Europe,Eastern Europe,380,UKR,Ukraine,,,,,,,,41902416,3,1,0,67,
2020-03-11T20:00:00,Europe,Western Europe,43,AUT,Austria,,,,,,,,8902600,504,1,6,68,
2020-03-11T20:00:00,Europe,Western Europe,41,CHE,Switzerland,,,,,,,,8586550,1139,11,4,69,
2020-03-11T20:00:00,Europe,Northern Europe,353,IRL,Ireland,,,,,,,,4921500,90,1,0,70,
2020-03-11T20:00:00,Asia,Western Asia,995,GEO,Georgia,,,,,,,,3723464,25,0,0,71,
2020-03-11T20:00:00,Asia,Southern Asia,880,BGD,Bangladesh,,,,,,,,168186262,3,0,0,72,
2020-03-11T20:00:00,Asia,Western Asia,965,KWT,Kuwait,,,,,,,,4420110,80,0,5,73,
2020-03-11T20:00:00,Europe,Southern Europe,389,MKD,North Macedonia,,,,,,,,2077132,14,0,1,74,
2020-03-11T20:00:00,Americas,South America,55,BRA,Brazil,,,,,,,,211191084,151,0,0,75,
2020-03-11T20:00:00,Europe,Southern Europe,30,GRC,Greece,,,,,,,,10724599,190,1,0,76,
2020-03-11T20:00:00,Europe,Northern Europe,46,SWE,Sweden,,,,,,,,10327589,814,1,1,77,
2020-03-11T20:00:00,Asia,Southern Asia,92,PAK,Pakistan,,,,,,,,208203777,28,0,2,78,
2020-03-11T20:00:00,Europe,Northern Europe,47,NOR,Norway,,,,,,,,5367580,996,0,1,79,
2020-03-11T20:00:00,Europe,Western Europe,33,FRA,France,,X,,,,,,67064000,3661,79,12,80,
2020-03-11T20:00:00,Asia,Western Asia,90,TUR,Turkey,,,,,,,,83154997,5,0,0,81,
2020-03-11T20:00:00,Asia,Western Asia,973,BHR,Bahrain,,,,,,,,1543300,189,0,44,82,
2020-03-11T20:00:00,Europe,Northern Europe,354,ISL,Iceland,,,,,,,,364260,134,0,1,83,
2020-03-11T20:00:00,Americas,South America,593,ECU,Ecuador,,,,,,,,17434416,17,0,0,84,
2020-03-11T20:00:00,Europe,Northern Europe,372,EST,Estonia,,,,,,,,1328360,79,0,0,85,
2020-03-11T20:00:00,Europe,Northern Europe,45,DNK,Denmark,,X,,,,,,5822763,801,0,1,86,
2020-03-11T20:00:00,Europe,Northern Europe,44,GBR,United Kingdom,,X,,,,,,66435600,798,8,18,87,
2020-03-11T20:00:00,Europe,Western Europe,31,NLD,Netherlands,,,,,,,,17439481,804,10,0,88,
2020-03-11T20:00:00,Americas,Caribbean,53,CUB,Cuba,,,,,,,,11209628,4,0,0,89,
2020-03-11T20:00:00,Americas,Northern America,1,CAN,Canada,QC,,Quebec,,,,,8522800,17,0,0,90,
2020-03-11T20:00:00,Africa,Western Africa,234,NGA,Nigeria,,,,,,,,200963599,2,0,0,91,
2020-03-11T20:00:00,Europe,Northern Europe,370,LTU,Lithuania,,,,,,,,2793350,6,0,0,92,
2020-03-11T20:00:00,Oceania,Oceania,64,NZL,New Zealand,,,,,,,,4961950,5,0,0,93,
2020-03-11T20:00:00,Europe,Eastern Europe,375,BLR,Belarus,,,,,,,,9413446,27,0,3,94,
2020-03-11T20:00:00,Asia,Western Asia,994,AZE,Azerbaijan,,,,,,,,10067108,15,1,3,95,
2020-03-11T20:00:00,Asia,Western Asia,374,ARM,Armenia,,,,,,,,2957500,8,0,0,96,
2020-03-11T20:00:00,Asia,Central Asia,7,KAZ,Kazakhstan,,,,,,,,18654144,4,0,0,97,
2020-03-11T20:00:00,Asia,Southern Asia,98,IRN,Iran,,,,,,,,83241033,11364,514,2959,98,
2020-03-11T20:00:00,Asia,Western Asia,972,ISR,Israel,,,,,,,,9166000,161,0,4,99,
2020-03-11T20:00:00,Oceania,Polynesia,689,PYF,French Polynesia,,X,,,,,,275918,3,0,0,100,
2020-03-11T20:00:00,Oceania,Oceania,61,AUS,Australia,WA,,Western Australia,,,,,2621680,14,1,0,101,
2020-03-11T20:00:00,Americas,Caribbean,1,CYM,Cayman Islands,,,,,,,,65813,1,0,0,102,
2020-03-11T20:00:00,Asia,Eastern Asia,81,JPN,Japan,,,,,,,,126010000,701,19,118,103,
2020-03-11T20:00:00,Europe,Eastern Europe,420,CZE,Czechia,,,,,,,,10681161,141,0,0,104,
2020-03-11T20:00:00,Asia,Western Asia,974,QAT,Qatar,,,,,,,,2747282,320,0,0,105,
2020-03-11T20:00:00,Asia,South-eastern Asia,65,SGP,Singapore,,,,,,,,5703600,200,0,97,106,
2020-03-11T20:00:00,Americas,Caribbean,590,GLP,Guadeloupe,,,,,,,,395700,1,0,0,107,
2020-03-11T20:00:00,Americas,Caribbean,1,DOM,Dominican Republic,,,,,,,,10358320,5,0,0,108,
2020-03-11T20:00:00,Africa,Northern Africa,20,EGY,Egypt,,,,,,,,100072195,80,2,27,109,
2020-03-11T20:00:00,Americas,South America,591,BOL,Bolivia,,,,,,,,11469896,3,0,0,110,
2020-03-11T20:00:00,Americas,Northern America,1,CAN,Canada,MB,,Manitoba,,,,,1373859,4,0,0,111,
2020-03-11T20:00:00,Americas,Northern America,1,CAN,Canada,SK,,Saskatchewan,,,,,1178657,2,0,0,112,
2020-03-11T20:00:00,Asia,South-eastern Asia,62,IDN,Indonesia,,,,,,,,266911900,69,4,2,113,
2020-03-11T20:00:00,Asia,Eastern Asia,82,KOR,South Korea,,,,,,,,51780579,7979,66,510,114,
2020-03-11T20:00:00,Europe,Northern Europe,371,LVA,Latvia,,,,,,,,1906800,17,0,1,115,
2020-03-11T20:00:00,Africa,Western Africa,221,SEN,Senegal,,,,,,,,16209125,10,0,1,116,
2020-03-11T20:00:00,Africa,Eastern Africa,251,ETH,Ethiopia,,,,,,,,98665000,1,0,0,117,
2020-03-11T20:00:00,Africa,Northern Africa,249,SDN,Sudan,,,,,,,,42306185,1,1,0,118,
2020-03-11T20:00:00,Europe,Southern Europe,351,PRT,Portugal,,,,,,,,10276617,112,0,1,119,
2020-03-11T20:00:00,Europe,Southern Europe,376,AND,Andorra,,,,,,,,77543,1,0,0,120,
2020-03-11T20:00:00,Africa,Western Africa,224,GIN,Guinea,,,,,,,,12218357,1,0,0,121,
2020-03-11T20:00:00,Americas,Caribbean,1,ATG,Antigua and Barbuda,,,,,,,,96453,1,0,0,122,
2020-03-11T20:00:00,Europe,Western Europe,32,BEL,Belgium,,,,,,,,11524454,559,3,1,123,
2020-03-11T20:00:00,Europe,Eastern Europe,7,RUS,Russia,,,,,,,,146780720,45,0,3,124,
2020-03-11T20:00:00,Asia,Southern Asia,91,IND,India,,,,,,,,1359238350,82,2,4,125,
2020-03-11T20:00:00,Africa,Northern Africa,212,MAR,Morocco,,,,,,,,35824881,7,1,1,126,
2020-03-11T20:00:00,Americas,Caribbean,297,ABW,Aruba,,,,,,,,112309,2,0,0,127,
2020-03-11T20:00:00,Americas,Northern America,1,CAN,Canada,EXT,,Grand Princess,,,,,2,2,0,0,128,
2020-03-11T20:00:00,Americas,South America,54,ARG,Argentina,,,,,,,,44938712,31,2,0,129,
2020-03-11T20:00:00,Americas,South America,56,CHL,Chile,,,,,,,,19107216,43,0,0,130,
2020-03-11T20:00:00,Asia,Western Asia,962,JOR,Jordan,,,,,,,,10625504,1,0,1,131,
2020-03-11T20:00:00,Africa,Eastern Africa,254,KEN,Kenya,,,,,,,,47564296,1,0,0,132,
2020-03-11T20:00:00,Americas,Caribbean,590,BLM,Saint Barthélemy,,X,,,,,,9793,1,0,0,133,
2020-03-11T20:00:00,Americas,Caribbean,590,MAF,Saint Martin,,X,,,,,,35746,2,0,0,134,
2020-03-11T20:00:00,Europe,Eastern Europe,48,POL,Poland,,,,,,,,38386000,68,2,0,135,
2020-03-11T20:00:00,Europe,Northern Europe,298,FRO,Faroe Islands,,X,,,,,,52124,3,0,0,136,
2020-03-11T20:00:00,Europe,Southern Europe,350,GIB,Gibraltar,,X,,,,,,33701,1,0,1,137,
2020-03-11T20:00:00,Europe,Eastern Europe,36,HUN,Hungary,,,,,,,,9772756,19,0,0,138,
2020-03-11T20:00:00,Oceania,Oceania,61,AUS,Australia,NT,,Northern Territory,,,,,245869,1,0,0,139,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,1,,Alabama,,,,,4779736,5,0,0,140,
2020-03-11T20:00:00,Europe,Southern Europe,386,SVN,Slovenia,,,,,,,,2094060,141,0,0,141,
2020-03-11T20:00:00,Europe,Northern Europe,358,FIN,Finland,,,,,,,,5527573,155,0,1,142,
2020-03-11T20:00:00,Africa,Southern Africa,27,ZAF,South Africa,,,,,,,,58775022,24,0,0,143,
2020-03-11T20:00:00,Europe,Southern Europe,387,BIH,Bosnia and Herzegovina,,,,,,,,3301000,13,0,0,144,
2020-03-11T20:00:00,Asia,Western Asia,966,SAU,Saudi Arabia,,,,,,,,34218169,86,0,1,145,
2020-03-11T20:00:00,Africa,Western Africa,225,CIV,Côte d'Ivoire,,,,,,,,25823071,1,0,0,146,
2020-03-11T20:00:00,Europe,Western Europe,352,LUX,Luxembourg,,,,,,,,613894,34,0,0,147,
2020-03-11T20:00:00,Americas,Central America,506,CRI,Costa Rica,,,,,,,,5058007,23,0,0,148,
2020-03-11T20:00:00,Americas,Northern America,1,CAN,Canada,AB,,Alberta,,,,,4395586,29,0,0,149,
2020-03-11T20:00:00,Asia,Southern Asia,975,BTN,Bhutan,,,,,,,,741672,1,0,0,150,
2020-03-11T20:00:00,Europe,Southern Europe,34,ESP,Spain,,,,,,,,47100396,5232,133,193,151,
2020-03-11T20:00:00,Asia,South-eastern Asia,60,MYS,Malaysia,,,,,,,,32704760,197,0,26,152,
2020-03-11T20:00:00,Europe,Southern Europe,39,VAT,Holy See,,,,,,,,799,1,0,0,153,
2020-03-11T20:00:00,Europe,Southern Europe,381,SRB,Serbia,,,,,,,,6963764,35,0,0,154,
2020-03-11T20:00:00,Africa,Middle Africa,237,CMR,Cameroon,,,,,,,,25876000,2,0,0,155,
2020-03-11T20:00:00,Europe,Eastern Europe,421,SVK,Slovakia,,,,,,,,5456362,32,0,0,156,
2020-03-11T20:00:00,Africa,Western Africa,228,TGO,Togo,,,,,,,,7538000,1,0,0,157,
2020-03-11T20:00:00,Americas,South America,51,PER,Peru,,,,,,,,32131400,28,0,0,158,
2020-03-11T20:00:00,Europe,Eastern Europe,40,ROU,Romania,,,,,,,,19405156,89,0,7,159,
2020-03-11T20:00:00,Americas,Central America,52,MEX,Mexico,,,,,,,,126577691,12,0,4,160,
2020-03-11T20:00:00,Americas,South America,57,COL,Colombia,,,,,,,,49395678,13,0,0,161,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,99,,Grand Princess,,,,,21,21,0,0,162,
2020-03-11T20:00:00,Asia,South-eastern Asia,673,BRN,Brunei,,,,,,,,442400,37,0,0,163,
2020-03-11T20:00:00,Americas,Caribbean,596,MTQ,Martinique,,,,,,,,376480,3,0,0,164,
2020-03-11T20:00:00,Americas,South America,594,GUF,French Guiana,,,,,,,,290691,5,0,0,165,
2020-03-11T20:00:00,Europe,Southern Europe,356,MLT,Malta,,,,,,,,493559,12,0,1,166,
2020-03-11T20:00:00,Americas,South America,595,PRY,Paraguay,,,,,,,,7152703,6,0,0,167,
2020-03-11T20:00:00,Europe,Eastern Europe,373,MDA,Moldova,,,,,,,,2681735,6,0,0,168,
2020-03-11T20:00:00,Asia,Southern Asia,960,MDV,Maldives,,,,,,,,374775,9,0,0,169,
2020-03-11T20:00:00,Europe,Eastern Europe,359,BGR,Bulgaria,,,,,,,,7000039,23,1,0,170,
2020-03-11T20:00:00,Africa,Northern Africa,216,TUN,Tunisia,,,,,,,,11722038,16,0,0,171,
2020-03-11T20:00:00,Asia,Western Asia,357,CYP,Cyprus,,,,,,,,875900,14,0,0,172,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,2,,Alaska,,,,,710231,1,0,0,173,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,4,,Arizona,,,,,6392017,9,0,1,174,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,5,,Arkansas,,,,,2915918,6,0,0,175,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,6,,California,,,,,37253956,282,4,6,176,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,8,,Colorado,,,,,5029196,49,0,0,177,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,9,,Connecticut,,,,,3574097,11,0,0,178,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,10,,Delaware,,,,,897934,4,0,0,179,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,11,,District of Columbia,,,,,601723,10,0,0,180,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,12,,Florida,,,,,18801310,50,2,0,181,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,13,,Georgia,,,,,9687653,42,1,0,182,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,15,,Hawaii,,,,,1360301,2,0,0,183,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,16,,Idaho,,,,,1567582,1,0,0,184,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,17,,Illinois,,,,,12830632,46,0,2,185,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,18,,Indiana,,,,,6483802,13,0,0,186,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,19,,Iowa,,,,,3046355,17,0,0,187,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,20,,Kansas,,,,,2853118,5,1,0,188,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,21,,Kentucky,,,,,4339367,14,0,0,189,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,22,,Louisiana,,,,,4533372,36,0,0,190,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,23,,Maine,,,,,1328361,1,0,0,191,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,24,,Maryland,,,,,5773552,18,0,0,192,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,25,,Massachusetts,,,,,6547629,123,0,1,193,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,26,,Michigan,,,,,9883640,16,0,0,194,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,27,,Minnesota,,,,,5303925,14,0,0,195,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,28,,Mississippi,,,,,2967297,1,0,0,196,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,29,,Missouri,,,,,5988927,2,0,0,197,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,30,,Montana,,,,,989415,1,0,0,198,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,31,,Nebraska,,,,,1826341,13,0,0,199,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,32,,Nevada,,,,,2700551,17,0,0,200,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,33,,New Hampshire,,,,,1316470,6,0,0,201,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,34,,New Jersey,,,,,8791894,29,1,0,202,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,35,,New Mexico,,,,,2059179,10,0,0,203,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,36,,New York,,,,,19378102,421,0,0,204,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,37,,North Carolina,,,,,9535483,17,0,0,205,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,38,,North Dakota,,,,,672591,1,0,0,206,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,39,,Ohio,,,,,11536504,13,0,0,207,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,40,,Oklahoma,,,,,3751351,2,0,0,208,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,41,,Oregon,,,,,3831074,30,0,0,209,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,42,,Pennsylvania,,,,,12702379,41,0,0,210,
