Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.371.198.387;4,06;298.977;12.936;91.443;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
2020-03-21 14:43;Europe;Western Europe;43;AUT;Austria;;;;;;;;8.902.600;31,61;2.814;8;9;https://www.openstreetmap.org/#map=5/47.5162/14.5501&layers=T;47.5162;14.5501;13
2020-03-21 17:13;Europe;Northern Europe;47;NOR;Norway;;;;;;;;5.367.580;39,46;2.118;7;1;https://www.openstreetmap.org/#map=5/60.4720/8.4689&layers=T;60.4720;8.4689;14
2020-03-21 22:43;Americas;Northern America;1;USA;United States;WA;;Washington;;;;;6.724.540;26,66;1.793;94;0;https://www.openstreetmap.org/#map=5/47.4009/-121.4905&layers=T;47.4009;-121.4905;15
2020-03-21 14:43;Europe;Northern Europe;46;SWE;Sweden;;;;;;;;10.327.589;17,07;1.763;20;16;https://www.openstreetmap.org/#map=5/60.1282/18.6435&layers=T;60.1282;18.6435;16
2020-03-21 12:43;Asia;Eastern Asia;86;CHN;China;粤;;Guangdong;;;;;113.460.000;1,23;1.400;8;1.325;https://www.openstreetmap.org/#map=5/23.3417/113.4244&layers=T;23.3417;113.4244;17
2020-03-21 22:43;Americas;Northern America;1;USA;United States;CA;;California;;;;;37.253.956;3,66;1.364;24;0;https://www.openstreetmap.org/#map=5/36.1162/-119.6816&layers=T;36.1162;-119.6816;18
2020-03-21 19:43;Americas;Northern America;1;USA;United States;NJ;;New Jersey;;;;;8.791.894;15,09;1.327;16;0;https://www.openstreetmap.org/#map=5/40.2989/-74.5210&layers=T;40.2989;-74.5210;19
2020-03-21 12:43;Europe;Northern Europe;45;DNK;Denmark;;X;;;;;;5.822.763;22,77;1.326;13;1;https://www.openstreetmap.org/#map=5/56.2639/9.5018&layers=T;56.2639;9.5018;20
2020-03-21 13:13;Europe;Southern Europe;351;PRT;Portugal;;;;;;;;10.276.617;12,46;1.280;12;5;https://www.openstreetmap.org/#map=5/39.3999/-8.2245&layers=T;39.3999;-8.2245;21
2020-03-14 09:53;Asia;Eastern Asia;86;CHN;China;豫;;Henan;;;;;96.050.000;1,33;1.273;22;1.250;https://www.openstreetmap.org/#map=5/33.8820/113.6140&layers=T;33.8820;113.6140;22
2020-03-21 03:43;Asia;Eastern Asia;86;CHN;China;浙;;Zhejiang;;;;;57.370.000;2,15;1.236;1;1.219;https://www.openstreetmap.org/#map=5/29.1832/120.0934&layers=T;29.1832;120.0934;23
2020-03-21 11:43;Asia;South-eastern Asia;60;MYS;Malaysia;;;;;;;;32.704.760;3,62;1.183;4;114;https://www.openstreetmap.org/#map=5/4.2105/101.9758&layers=T;4.2105;101.9758;24
2020-03-21 17:43;Americas;South America;55;BRA;Brazil;;;;;;;;211.191.084;0,48;1.021;15;2;https://www.openstreetmap.org/#map=5/-14.2350/-51.9253&layers=T;-14.2350;-51.9253;25
2020-03-14 08:33;Asia;Eastern Asia;86;CHN;China;湘;;Hunan;;;;;68.990.000;1,48;1.018;4;1.014;https://www.openstreetmap.org/#map=5/27.6104/111.7088&layers=T;27.6104;111.7088;26
2020-03-21 20:43;Asia;Eastern Asia;81;JPN;Japan;;;;;;;;126.010.000;0,80;1.007;35;232;https://www.openstreetmap.org/#map=5/36.2048/138.2529&layers=T;36.2048;138.2529;27
2020-03-21 20:43;Europe;Eastern Europe;420;CZE;Czechia;;;;;;;;10.681.161;9,32;995;0;6;https://www.openstreetmap.org/#map=5/49.8175/15.4730&layers=T;49.8175;15.4730;28
2020-03-11 02:18;Asia;Eastern Asia;86;CHN;China;皖;;Anhui;;;;;63.240.000;1,57;990;6;984;https://www.openstreetmap.org/#map=5/31.8257/117.2264&layers=T;31.8257;117.2264;29
2020-03-12 02:13;Asia;Eastern Asia;86;CHN;China;赣;;Jiangxi;;;;;46.480.000;2,01;935;1;934;https://www.openstreetmap.org/#map=5/27.6140/115.7221&layers=T;27.6140;115.7221;30
2020-03-21 11:43;Asia;Western Asia;972;ISR;Israel;;;;;;;;9.166.000;9,63;883;1;36;https://www.openstreetmap.org/#map=5/31.0461/34.8516&layers=T;31.0461;34.8516;31
2020-03-21 22:43;Americas;Northern America;1;USA;United States;MI;;Michigan;;;;;9.883.640;7,97;788;5;0;https://www.openstreetmap.org/#map=5/43.3266/-84.5361&layers=T;43.3266;-84.5361;32
