Continent;Region;Country;ID;;Ebene
;;;;;2
Asia;Southern Asia;Iran;IRN;;2
Europe;Southern Europe;Spain;ESP;;2
Europe;Western Europe;Germany;DEU;;2
Europe;Western Europe;France;FRA;;2
Asia;Eastern Asia;South Korea;KOR;;2
Americas;Northern America;United States;USA;;2
;;;;;2
;;;;;2
;;;;;2
;;;;;2
;;;Asia;;4
;;;Southern Asia;;3
Europe;Western Europe;Switzerland;CHE;;1
