 ID ;Provinces;Population;
;9;25.359.663;
ACT;Australian Capital Territory;426.709;1
NSW;New South Wales;8.089.526;2
NT;Northern Territory;245.869;3
QLD;Queensland;5.095.100;4
SA;South Australia;1.751.693;5
TAS;Tasmania;534.281;6
VIC;Victoria;6.594.804;7
WA;Western Australia;2.621.680;8
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
EXT;From Diamond Princess;1;EXT
