ID;Country or unrecognized territory;Population;#
PYF;French Polynesia;275.918;184
ABK;Abkhazia;244.832;185
STP;São Tomé and Príncipe;201.784;186
WSM;Samoa;200.874;187
LCA;Saint Lucia;178.696;188
GUM;Guam;172.400;189
CUW;Curaçao;158.665;190
AMA;Artsakh;148.000;191
KIR;Kiribati;120.100;192
ABW;Aruba;112.309;193
GRD;Grenada;112.003;194
VCT;Saint Vincent and the Grenadines;110.608;195
JEY;Jersey;106.800;196
VIR;U.S. Virgin Islands;104.578;197
FSM;Micronesia;104.468;198
TON;Tonga;100.651;199
SYC;Seychelles;97.625;200
ATG;Antigua and Barbuda;96.453;201
IMN;Isle of Man;83.314;202
AND;Andorra;77.543;203
DMA;Dominica;71.808;204
CYM;Cayman Islands;65.813;205
BMU;Bermuda;64.027;206
GGY;Guernsey;62.792;207
ASM;American Samoa;56.700;208
GRL;Greenland;56.081;209
MNP;Northern Mariana Islands;56.200;210
MHL;Marshall Islands;55.500;211
RSO;South Ossetia;53.532;212
KNA;Saint Kitts and Nevis;52.823;213
FRO;Faroe Islands;52.124;214
TCA;Turks and Caicos Islands;41.369;215
SXM;Sint Maarten;40.614;216
LIE;Liechtenstein;38.557;217
MCO;Monaco;38.300;218
MAF;Saint Martin;35.746;219
GIB;Gibraltar;33.701;220
SMR;San Marino;33.574;221
VGB;British Virgin Islands;30.030;222
ALA;Åland Islands;29.789;223
PLW;Palau;17.900;224
COK;Cook Islands;15.200;225
AIA;Anguilla;14.869;226
WLF;Wallis and Futuna;11.700;227
NRU;Nauru;11.000;228
TUV;Tuvalu;10.200;229
BLM;Saint Barthélemy;9.793;230
SPM;Saint Pierre and Miquelon;6.008;231
SH-HL;Saint Helena;5.333;232
SH-TA;Tristan da Cunha;300;233
MSR;Montserrat;4.989;234
FLK;Falkland Islands;3.198;235
CXR;Christmas Island;1.928;236
NFK;Norfolk Island;1.756;237
NIU;Niue;1.520;238
TKL;Tokelau;1.400;239
VAT;Holy See;799;240
CCK;Cocos (Keeling) Islands;538;241
PCN;Pitcairn Islands;50;242
ENG;England;55.977.178;243
GUF;French Guiana;290.691;244
MTQ;Martinique;376.480;245
REU;Réunion;853.659;246
SH-AC;Ascension Island;806;247
NL-BQ1;Bonaire;20.104;248
IOT;British Indian Ocean Territory;4.000;250
ES-CN;Canary Islands;2.153.389;251
ES-CE;Ceuta;85.144;252
IOT-DG;Diego Garcia;4.239;253
IOT-CI;Chagos Islands;3.000;254
RAP;Easter Island;7.750;255
GLP;Guadeloupe;395.700;256
SJM;Jan Mayen;35;257
PT-30;Madeira;289.000;258
MYT;Mayotte;279.471;259
ES-ML;Melilla;86.384;260
NL-BQ2;Saba;1.915;261
SADR;Sahrawi Arab Democratic Republic;502.585;262
GB-NIR;Northern Ireland;1.810.863;263
SCOT;Scotland;5.424.800;264
NL-BQ3;Sint Eustatius;3.138;265
NO-21;Svalbard;2.667;267
GB-WLS;Wales;3.139.000;268
ATA;Antarctica;5.000;269
IC;International Conveyance;0;270
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;0;
;;;
;;;
;;0;
OPS;octup.us;1;300
