 ID ;Provinces;Population;
;11;37.672.714;
AB;Alberta;4.395.586;1
BC;British Columbia;5.105.576;2
MB;Manitoba;1.373.859;3
NB;New Brunswick;780.021;4
NL;Newfoundland and Labrador;521.922;5
NS;Nova Scotia;976.768;6
ON;Ontario;14.659.616;7
PE;Prince Edward Island;157.901;8
QC;Quebec;8.522.800;9
SK;Saskatchewan;1.178.657;10
;;;
;;;
;;;
;;;
;;;
;;;
;;;
EXT;Grand Princess;8;EXT
