;0;Country or unrecognized territory;International Calling Code
93;391;Gibraltar;350
94;392;Greece;30
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
95;399;Greenland;299
96;400;Grenada;1
97;401;Guadeloupe;590
0;0;;0
98;403;Guam;1
99;404;Guatemala;502
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
100;432;Guernsey;44
101;433;Guinea;224
102;434;Guinea-Bissau;245
0;0;;0
103;436;Guyana;592
104;437;Haiti;509
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
;0;;
105;445;Honduras;504
0;0;;0
0;0;;0
0;0;;0
106;449;Hong Kong;852
0;0;;0
0;0;;0
0;0;;0
107;453;Hungary;36
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
108;460;Iceland;354
109;461;India;91
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
110;473;Indonesia;62
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
111;494;Iran;98
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
112;513;Iraq;964
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
113;520;Ireland;353
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
114;526;Isle of Man;44
115;527;Israel;972
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
116;537;Italy;39
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
