ID;Country;ICC;Population;Region;"Sub- or Intermediate
Region"
NPL;Nepal;977;29.609.623;Asia;Southern Asia
NLD;Netherlands;31;17.439.481;Europe;Western Europe
NCL;New Caledonia;687;282.200;Oceania;Melanesia
NZL;New Zealand;64;4.961.950;Oceania;Oceania
NIC;Nicaragua;505;6.460.411;Americas;Central America
NER;Niger;227;22.314.743;Africa;Western Africa
NGA;Nigeria;234;200.963.599;Africa;Western Africa
NIU;Niue;683;1.520;Oceania;Polynesia
NFK;Norfolk Island;672;1.756;Oceania;Oceania
PRK;North Korea;850;25.450.000;Asia;Eastern Asia
MKD;North Macedonia;389;2.077.132;Europe;Southern Europe
NCY;Northern Cyprus;90;351.965;Asia;Western Asia
GB-NIR;Northern Ireland;44;1.810.863;Europe;Northern Europe
MNP;Northern Mariana Islands;1;56.200;Oceania;Micronesia
NOR;Norway;47;5.367.580;Europe;Northern Europe
OMN;Oman;968;4.664.790;Asia;Western Asia
PAK;Pakistan;92;208.203.777;Asia;Southern Asia
PLW;Palau;680;17.900;Oceania;Micronesia
PSE;Palestine;970;4.976.684;Asia;Western Asia
PAN;Panama;507;4.218.808;Americas;Central America
PNG;Papua New Guinea;675;8.935.000;Oceania;Melanesia
PRY;Paraguay;595;7.152.703;Americas;South America
PER;Peru;51;32.131.400;Americas;South America
PHL;Philippines;63;108.341.299;Asia;South-eastern Asia
PCN;Pitcairn Islands;64;50;Oceania;Polynesia
POL;Poland;48;38.386.000;Europe;Eastern Europe
PRT;Portugal;351;10.276.617;Europe;Southern Europe
PRI;Puerto Rico;1;3.193.694;Americas;Caribbean
QAT;Qatar;974;2.747.282;Asia;Western Asia
REU;Réunion;262;853.659;Africa;Eastern Africa
ROU;Romania;40;19.405.156;Europe;Eastern Europe
RUS;Russia;7;146.780.720;Europe;Eastern Europe
RWA;Rwanda;250;12.374.397;Africa;Eastern Africa
NL-BQ2;Saba;599;1.915;Americas;Caribbean
SADR;Sahrawi Arab Democratic Republic;212;502.585;Africa;Northern Africa
BLM;Saint Barthélemy;590;9.793;Americas;Caribbean
SH-HL;Saint Helena;290;5.333;Africa;Western Africa
KNA;Saint Kitts and Nevis;1;52.823;Americas;Caribbean
LCA;Saint Lucia;1;178.696;Americas;Caribbean
MAF;Saint Martin;590;35.746;Americas;Caribbean
SPM;Saint Pierre and Miquelon;508;6.008;Americas;Northern America
VCT;Saint Vincent and the Grenadines;1;110.608;Americas;Caribbean
WSM;Samoa;685;200.874;Oceania;Polynesia
SMR;San Marino;378;33.574;Europe;Southern Europe
STP;São Tomé and Príncipe;239;201.784;Africa;Middle Africa
SAU;Saudi Arabia;966;34.218.169;Asia;Western Asia
SCOT;Scotland;44;5.424.800;Europe;Northern Europe
SEN;Senegal;221;16.209.125;Africa;Western Africa
SRB;Serbia;381;6.963.764;Europe;Southern Europe
SYC;Seychelles;248;97.625;Africa;Eastern Africa
SLE;Sierra Leone;232;7.901.454;Africa;Western Africa
SGP;Singapore;65;5.703.600;Asia;South-eastern Asia
NL-BQ3;Sint Eustatius;599;3.138;Americas;Caribbean
SXM;Sint Maarten;1;40.614;Americas;Caribbean
SVK;Slovakia;421;5.456.362;Europe;Eastern Europe
SVN;Slovenia;386;2.094.060;Europe;Southern Europe
SLB;Solomon Islands;677;680.806;Oceania;Melanesia
SOM;Somalia;252;15.442.905;Africa;Eastern Africa
ZAF;South Africa;27;58.775.022;Africa;Southern Africa
KOR;South Korea;82;51.780.579;Asia;Eastern Asia
RSO;South Ossetia;995;53.532;Asia;Western Asia
SSD;South Sudan;211;12.778.250;Africa;Eastern Africa
ESP;Spain;34;47.100.396;Europe;Southern Europe
LKA;Sri Lanka;94;21.803.000;Asia;Southern Asia
SDN;Sudan;249;42.306.185;Africa;Northern Africa
SUR;Suriname;597;581.372;Americas;South America
NO-21;Svalbard;47;2.667;Europe;Northern Europe
SWE;Sweden;46;10.327.589;Europe;Northern Europe
CHE;Switzerland;41;8.586.550;Europe;Western Europe
SYR;Syria;963;17.070.135;Asia;Western Asia
TWN;Taiwan;886;23.604.265;Asia;Eastern Asia
TJK;Tajikistan;992;9.127.000;Asia;Central Asia
TZA;Tanzania;255;55.890.747;Africa;Eastern Africa
THA;Thailand;66;66.475.817;Asia;South-eastern Asia
TGO;Togo;228;7.538.000;Africa;Western Africa
TKL;Tokelau;690;1.400;Oceania;Polynesia
TON;Tonga;676;100.651;Oceania;Polynesia
TTO;Trinidad and Tobago;1;1.363.985;Americas;Caribbean
SH-TA;Tristan da Cunha;290;300;Africa;Western Africa
TUN;Tunisia;216;11.722.038;Africa;Northern Africa
TUR;Turkey;90;83.154.997;Asia;Western Asia
TKM;Turkmenistan;993;5.942.089;Asia;Central Asia
TCA;Turks and Caicos Islands;1;41.369;Americas;Caribbean
TUV;Tuvalu;688;10.200;Oceania;Polynesia
UGA;Uganda;256;40.299.300;Africa;Eastern Africa
UKR;Ukraine;380;41.902.416;Europe;Eastern Europe
ARE;United Arab Emirates;971;9.770.529;Asia;Western Asia
GBR;United Kingdom;44;66.435.600;Europe;Northern Europe
USA;United States;1;329.368.418;Americas;Northern America
URY;Uruguay;598;3.518.552;Americas;South America
UZB;Uzbekistan;998;34.042.388;Asia;Central Asia
VUT;Vanuatu;678;304.500;Oceania;Melanesia
VAT;Holy See;39;799;Europe;Southern Europe
VEN;Venezuela;58;32.219.521;Americas;South America
VNM;Vietnam;84;96.208.984;Asia;South-eastern Asia
VIR;U.S. Virgin Islands;1;104.578;Americas;Caribbean
GB-WLS;Wales;44;3.139.000;Europe;Northern Europe
WLF;Wallis and Futuna;681;11.700;Oceania;Polynesia
ESH;Western Sahara;212;582.463;Africa;Northern Africa
YEM;Yemen;967;29.161.922;Asia;Western Asia
ZMB;Zambia;260;17.381.168;Africa;Eastern Africa
ZWE;Zimbabwe;263;15.159.624;Africa;Eastern Africa
ABK;Abkhazia;7940;244.832;Asia;Western Asia
IC;International Conveyance;5;0;In;Between
OPS;octup.us;999;1;Europe;Western Europe
;;;0;0;0
;;;0;0;0
;;;0;0;0
