Last Update;World Region;ICC;ID;Country;;Province;;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;#
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;125865;4615;67003;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2020-03-11T09:53:03;Western Asia;965;KWT;Kuwait;;;;;;;4420110;72;0;2;60
2020-03-11T22:13:12;Western Asia;964;IRQ;Iraq;;;;;;;39127900;71;7;15;61
2020-03-11T18:52:04;Oceania;61;AUS;Australia;;;;;;;25631395;65;2;4;62
2020-03-11T22:13:12;Southern Asia;91;IND;India;;;;;;;1359238350;62;1;4;63
2020-03-11T20:53:02;Southern Europe;378;SMR;San Marino;;;;;;;33574;62;2;0;64
2020-03-11T11:53:03;Western Asia;961;LBN;Lebanon;;;;;;;6855713;61;3;1;65
2020-03-11T22:13:12;Northern Africa;20;EGY;Egypt;;;;;;;100072195;60;1;27;66
2020-03-11T13:33:10;Northern Europe;358.A;FIN;Finland;;;;;;;5527573;59;0;1;67
2020-03-11T13:33:11;Southern Europe;351.A;PRT;Portugal;;;;;;;10276617;59;0;0;68
2020-03-11T09:13:10;South-eastern Asia;66;THA;Thailand;;;;;;;66475817;59;1;34;69
2020-03-11T14:13:11;Southern Europe;386;SVN;Slovenia;;;;;;;2094060;57;0;0;70
2020-03-11T10:53:03;South-eastern Asia;63;PHL;Philippines;;;;;;;108341299;49;1;2;71
2020-03-11T20:13:14;Eastern Asia;886;TWN;Taiwan;;;;;;;23604265;48;1;17;72
2020-03-10T02:33:04;Northern America;1.X;USA;USA;;;;;;;329368418;46;0;0;73
2020-03-11T21:13:18;Eastern Europe;40;ROU;Romania;;;;;;;19405156;45;0;6;74
2020-03-11T21:33:03;Northern Europe;353;IRL;Ireland;;;;;;;4921500;43;1;0;75
2020-03-11T18:52:04;Northern America;1.G;CAN;Canada;;;;;;;37940493;41;0;4;76
2020-03-11T02:18:28;Northern America;1.G;CAN;Canada;;;;;;;37940493;39;1;4;77
2020-03-11T22:13:12;South America;55;BRA;Brazil;;;;;;;211191084;38;0;0;78
2020-03-11T20:53:02;South-eastern Asia;84;VNM;Vietnam;;;;;;;96208984;38;0;16;79
2020-03-11T11:14:26;South-eastern Asia;62;IDN;Indonesia;;;;;;;266911900;34;1;2;80
2020-03-11T22:53:03;Northern America;1.X;USA;USA;08;Colorado;;;;;5029196;34;0;0;81
2020-03-11T21:13:21;Eastern Europe;48;POL;Poland;;;;;;;38386000;31;0;0;82
2020-03-11T03:33:05;Northern America;1.X;USA;USA;12;Florida;;;;;18801310;28;2;0;83
2020-03-11T22:53:03;Northern America;1.X;USA;USA;17;Illinois;;;;;12830632;25;0;2;84
2020-03-11T22:13:12;Western Asia;995;GEO;Georgia;;;;;;;3723464;24;0;0;85
2020-03-11T22:13:12;South America;56;CHL;Chile;;;;;;;19107216;23;0;0;86
2020-03-11T18:52:03;Northern America;1.X;USA;USA;13;Georgia;;;;;9687653;23;0;0;87
2020-03-11T18:52:04;Northern America;1.X;USA;USA;34;New Jersey;;;;;8791894;23;1;0;88
2020-03-11T18:52:04;Oceania;61;AUS;Australia;;;;;;;25631395;21;0;7;89
2020-03-11T13:33:11;Western Asia;966;SAU;Saudi Arabia;;;;;;;34218169;21;0;1;90
2020-03-10T02:33:04;Northern America;1.X;USA;USA;;;;;;;329368418;21;0;0;91
2020-03-11T22:53:03;Northern America;1.X;USA;USA;48;Texas;;;;;25145561;21;0;0;92
2020-03-09T10:13:06;Northern Africa;213;DZA;Algeria;;;;;;;43000000;20;0;0;93
2020-03-11T18:52:04;Oceania;61;AUS;Australia;;;;;;;25631395;20;0;8;94
2020-03-11T18:52:03;Eastern Europe;7;RUS;Russia;;;;;;;FALSCH;20;0;3;95
2020-03-11T02:18:16;South America;54;ARG;Argentina;;;;;;;44938712;19;1;0;96
2020-03-11T23:13:07;Northern America;1.G;CAN;Canada;;;;;;;37940493;19;0;0;97
2020-03-11T22:13:12;Southern Europe;385;HRV;Croatia;;;;;;;4076246;19;0;0;98
2020-03-11T21:13:23;Southern Asia;92;PAK;Pakistan;;;;;;;208203777;19;0;2;99
2020-03-11T22:53:03;Northern America;1.X;USA;USA;41;Oregon;;;;;3831074;19;0;0;100
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;23;Qinghai;;;;;6030000;18;0;18;101
2020-03-10T08:33:02;Western Asia;968;OMN;Oman;;;;;;;4664790;18;0;9;102
2020-03-11T09:33:12;South America;593;ECU;Ecuador;;;;;;;17434416;17;0;0;103
2020-03-11T22:13:12;Northern Europe;372;EST;Estonia;;;;;;;1328360;16;0;0;104
2020-03-11T22:53:03;Northern America;1.X;USA;USA;42;Pennsylvania;;;;;12702379;16;0;0;105
2020-03-11T09:33:12;Central America;506;CRI;Costa Rica;;;;;;;5058007;13;0;0;106
2020-03-11T22:13:12;Eastern Europe;36;HUN;Hungary;;;;;;;9772756;13;0;0;107
2020-03-11T10:33:03;Southern Africa;27;ZAF;South Africa;;;;;;;58775022;13;0;0;108
2020-03-11T02:53:03;Northern America;1.X;USA;USA;19;Iowa;;;;;3046355;13;0;0;109
2020-03-11T13:33:11;Southern Europe;355;ALB;Albania;;;;;;;2862427;12;1;0;110
2020-03-11T09:53:03;Southern Europe;381;SRB;Serbia;;;;;;;6963764;12;0;0;111
2020-03-11T08:13:09;Western Asia;994;AZE;Azerbaijan;;;;;;;10067108;11;0;3;112
2020-03-11T22:13:12;South-eastern Asia;673;BRN;Brunei;;;;;;;442400;11;0;0;113
2020-03-10T16:33:13;South America;51;PER;Peru;;;;;;;32131400;11;0;0;114
