;Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered;Latitude;Longitude
82;British Columbia;Canada;2020-03-16T19:13:13;103;4;4;53.7267;-127.6476
83;;Lebanon;2020-03-16T00:22:11;99;3;1;33.8547;35.8623
84;;United Arab Emirates;2020-03-16T00:22:11;98;0;23;23.4241;53.8478
85;Jilin;China;2020-03-16T00:22:10;93;1;92;43.6661;126.1923
86;;Russia;2020-03-16T14:38:45;90;0;8;61.5240;105.3188
87;;Peru;2020-03-16T14:38:45;86;0;0;-9.1900;-75.0152
88;Texas;US;2020-03-16T23:53:03;85;0;0;31.0545;-97.5635
89;;Luxembourg;2020-03-16T01:53:03;77;1;0;49.8153;6.1296
90;Pennsylvania;US;2020-03-16T20:13:20;77;0;0;40.5908;-77.2098
91;Xinjiang;China;2020-03-11T02:18:14;76;3;73;41.1129;85.2401
92;Inner Mongolia;China;2020-03-16T14:38:45;75;1;73;44.0935;113.9448
93;Ningxia;China;2020-03-16T14:38:45;75;0;75;37.2692;106.1655
94;Victoria;Australia;2020-03-16T14:38:45;71;0;8;-37.8136;144.9631
95;Queensland;Australia;2020-03-16T14:38:46;68;0;8;-28.0167;153.4000
96;;Taiwan*;2020-03-16T14:38:45;67;1;20;23.7000;121.0000
97;;Slovakia;2020-03-16T14:38:45;63;0;0;48.6690;19.6990
98;;South Africa;2020-03-16T14:38:45;62;0;0;-30.5595;22.9375
99;;Vietnam;2020-03-16T14:53:04;61;0;16;14.0583;108.2772
100;;Croatia;2020-03-16T14:38:45;57;0;2;45.1000;15.2000
101;;Argentina;2020-03-16T14:38:45;56;2;1;-38.4161;-63.6167
102;Alberta;Canada;2020-03-16T02:33:09;56;0;0;53.9333;-116.5765
103;;Panama;2020-03-16T14:38:45;55;1;0;8.5380;-80.7821
104;;Serbia;2020-03-16T14:38:45;55;0;1;44.0165;21.0059
105;;Algeria;2020-03-16T14:38:45;54;4;12;28.0339;1.6596
106;;Brunei;2020-03-16T14:38:45;54;0;0;4.5353;114.7277
107;;Colombia;2020-03-16T14:38:45;54;0;0;4.5709;-74.2973
108;Minnesota;US;2020-03-16T16:53:06;54;0;0;45.6945;-93.9002
109;;Mexico;2020-03-16T14:38:45;53;0;4;23.6345;-102.5528
110;Michigan;US;2020-03-16T14:38:46;53;0;0;43.3266;-84.5361
111;;Armenia;2020-03-16T21:13:17;52;0;0;40.0691;45.0382
112;;Bulgaria;2020-03-16T14:38:45;52;2;0;42.7339;25.4858
113;Tennessee;US;2020-03-16T22:13:21;52;0;0;35.7478;-86.6923
114;;Albania;2020-03-16T14:38:45;51;1;0;41.1533;20.1683
115;Quebec;Canada;2020-03-16T20:13:20;50;0;0;52.9399;-73.5491
116;Ohio;US;2020-03-16T20:13:21;50;0;0;40.3888;-82.7649
117;Virginia;US;2020-03-16T22:13:21;49;1;0;37.7693;-78.1700
118;Diamond Princess;US;2020-03-16T16:53:06;47;0;0;35.4437;139.6380
119;Wisconsin;US;2020-03-16T20:13:20;47;0;1;44.2685;-89.6165
120;Nevada;US;2020-03-16T20:13:20;45;1;0;38.3135;-117.0554
121;Maryland;US;2020-03-16T20:13:20;41;0;3;39.0639;-76.8021
