Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;181.546;7.126;78.088;;;;
2020-03-15 18:20;Africa;Western Africa;222;MRT;Mauritania;;;;;;;;4.077.347;1;0;0;https://www.openstreetmap.org/#map=5/21.0079/-10.9408&layers=T;21.0079;-10.9408;252
2020-03-13 22:22;Africa;Western Africa;234;NGA;Nigeria;;;;;;;;200.963.599;2;0;0;https://www.openstreetmap.org/#map=5/9.0820/8.6753&layers=T;9.0820;8.6753;231
2020-03-16 01:13;Africa;Western Africa;221;SEN;Senegal;;;;;;;;16.209.125;24;0;2;https://www.openstreetmap.org/#map=5/14.4974/-14.4524&layers=T;14.4974;-14.4524;142
2020-03-13 22:22;Africa;Western Africa;228;TGO;Togo;;;;;;;;7.538.000;1;0;0;https://www.openstreetmap.org/#map=5/8.6195/0.8248&layers=T;8.6195;0.8248;264
2020-03-15 18:20;Americas;Caribbean;1;ATG;Antigua and Barbuda;;;;;;;;96.453;1;0;0;https://www.openstreetmap.org/#map=5/17.0608/-61.7964&layers=T;17.0608;-61.7964;233
2020-03-13 23:53;Americas;Caribbean;297;ABW;Aruba;;;;;;;;112.309;2;0;0;https://www.openstreetmap.org/#map=5/12.5211/-69.9683&layers=T;12.5211;-69.9683;222
2020-03-16 03:33;Americas;Caribbean;1;BHS;Bahamas;;;;;;;;385.340;1;0;0;https://www.openstreetmap.org/#map=5/24.2500/-76.0000&layers=T;24.2500;-76.0000;263
2020-03-16 14:53;Americas;Caribbean;1;CYM;Cayman Islands;;X;;;;;;65.813;1;1;0;https://www.openstreetmap.org/#map=5/19.3133/-81.2546&layers=T;19.3133;-81.2546;268
2020-03-13 23:53;Americas;Caribbean;53;CUB;Cuba;;;;;;;;11.209.628;4;0;0;https://www.openstreetmap.org/#map=5/21.5218/-77.7812&layers=T;21.5218;-77.7812;208
2020-03-16 00:22;Americas;Caribbean;599;CUW;Curaçao;;X;;;;;;158.665;1;0;0;https://www.openstreetmap.org/#map=5/12.1696/-68.9900&layers=T;12.1696;-68.9900;256
2020-03-14 20:53;Americas;Caribbean;1;DOM;Dominican Republic;;;;;;;;10.358.320;11;0;0;https://www.openstreetmap.org/#map=5/18.7357/-70.1627&layers=T;18.7357;-70.1627;173
2020-03-16 14:38;Americas;Caribbean;590;GLP;Guadeloupe;;;;;;;;395.700;6;0;0;https://www.openstreetmap.org/#map=5/16.2650/-61.5510&layers=T;16.2650;-61.5510;196
2020-03-16 14:38;Americas;Caribbean;590;GLP;Guadeloupe;;X;;;;;;395.700;3;0;0;https://www.openstreetmap.org/#map=5/16.2500/-61.5833&layers=T;16.2500;-61.5833;213
2020-03-16 01:53;Americas;Caribbean;1;JAM;Jamaica;;;;;;;;2.726.667;10;0;2;https://www.openstreetmap.org/#map=5/18.1096/-77.2975&layers=T;18.1096;-77.2975;176
2020-03-16 14:38;Americas;Caribbean;596;MTQ;Martinique;;;;;;;;376.480;15;1;0;https://www.openstreetmap.org/#map=5/14.6415/-61.0242&layers=T;14.6415;-61.0242;167
2020-03-16 00:22;Americas;Caribbean;1;PRI;Puerto Rico;;X;;;;;;3.193.694;5;0;0;https://www.openstreetmap.org/#map=5/18.2208/-66.5901&layers=T;18.2208;-66.5901;206
2020-03-16 14:38;Americas;Caribbean;1;PRI;Puerto Rico;;;;;;;;3.193.694;3;0;0;https://www.openstreetmap.org/#map=5/18.2000/-66.5000&layers=T;18.2000;-66.5000;217
2020-03-16 14:38;Americas;Caribbean;590;BLM;Saint Barthélemy;;X;;;;;;9.793;3;0;0;https://www.openstreetmap.org/#map=5/17.9000/-62.8333&layers=T;17.9000;-62.8333;214
2020-03-16 00:22;Americas;Caribbean;1;LCA;Saint Lucia;;;;;;;;178.696;2;0;0;https://www.openstreetmap.org/#map=5/13.9094/-60.9789&layers=T;13.9094;-60.9789;232
2020-03-14 16:33;Americas;Caribbean;590;MAF;Saint Martin;;X;;;;;;35.746;2;0;0;https://www.openstreetmap.org/#map=5/18.0708/-63.0501&layers=T;18.0708;-63.0501;226
2020-03-14 16:33;Americas;Caribbean;1;VCT;Saint Vincent and the Grenadines;;;;;;;;110.608;1;0;0;https://www.openstreetmap.org/#map=5/12.9843/-61.2872&layers=T;12.9843;-61.2872;258
2020-03-16 14:38;Americas;Caribbean;1;TTO;Trinidad and Tobago;;;;;;;;1.363.985;4;0;0;https://www.openstreetmap.org/#map=5/10.6918/-61.2225&layers=T;10.6918;-61.2225;211
2020-03-16 02:33;Americas;Central America;506;CRI;Costa Rica;;;;;;;;5.058.007;35;0;0;https://www.openstreetmap.org/#map=5/9.7489/-83.7534&layers=T;9.7489;-83.7534;128
2020-03-16 14:38;Americas;Central America;502;GTM;Guatemala;;;;;;;;16.604.026;2;1;0;https://www.openstreetmap.org/#map=5/15.7835/-90.2308&layers=T;15.7835;-90.2308;227
2020-03-16 14:38;Americas;Central America;504;HND;Honduras;;;;;;;;9.158.345;6;0;0;https://www.openstreetmap.org/#map=5/15.2000/-86.2419&layers=T;15.2000;-86.2419;197
2020-03-16 14:38;Americas;Central America;52;MEX;Mexico;;;;;;;;126.577.691;53;0;4;https://www.openstreetmap.org/#map=5/23.6345/-102.5528&layers=T;23.6345;-102.5528;109
2020-03-16 14:38;Americas;Central America;507;PAN;Panama;;;;;;;;4.218.808;55;1;0;https://www.openstreetmap.org/#map=5/8.5380/-80.7821&layers=T;8.5380;-80.7821;103
2020-03-16 02:33;Americas;Northern America;1;CAN;Canada;AB;;Alberta;;;;;4.395.586;56;0;0;https://www.openstreetmap.org/#map=5/53.9333/-116.5765&layers=T;53.9333;-116.5765;102
2020-03-16 19:13;Americas;Northern America;1;CAN;Canada;BC;;British Columbia;;;;;5.105.576;103;4;4;https://www.openstreetmap.org/#map=5/53.7267/-127.6476&layers=T;53.7267;-127.6476;82
2020-03-16 00:22;Americas;Northern America;1;CAN;Canada;EXT;;Grand Princess;;;;;2;2;0;0;https://www.openstreetmap.org/#map=5/37.6489/-122.6655&layers=T;37.6489;-122.6655;224
2020-03-16 02:53;Americas;Northern America;1;CAN;Canada;MB;;Manitoba;;;;;1.373.859;7;0;0;https://www.openstreetmap.org/#map=5/53.7609/-98.8139&layers=T;53.7609;-98.8139;188
2020-03-16 02:53;Americas;Northern America;1;CAN;Canada;NB;;New Brunswick;;;;;780.021;6;0;0;https://www.openstreetmap.org/#map=5/46.5653/-66.4619&layers=T;46.5653;-66.4619;194
2020-03-15 02:13;Americas;Northern America;1;CAN;Canada;NL;;Newfoundland and Labrador;;;;;521.922;1;0;0;https://www.openstreetmap.org/#map=5/53.1355/-57.6604&layers=T;53.1355;-57.6604;237
2020-03-16 17:53;Americas;Northern America;1;CAN;Canada;NS;;Nova Scotia;;;;;976.768;5;0;0;https://www.openstreetmap.org/#map=5/44.6820/-63.7443&layers=T;44.6820;-63.7443;201
2020-03-16 16:13;Americas;Northern America;1;CAN;Canada;ON;;Ontario;;;;;14.659.616;177;0;5;https://www.openstreetmap.org/#map=5/51.2538/-85.3232&layers=T;51.2538;-85.3232;53
2020-03-15 02:13;Americas;Northern America;1;CAN;Canada;PE;;Prince Edward Island;;;;;157.901;1;0;0;https://www.openstreetmap.org/#map=5/46.5107/-63.4168&layers=T;46.5107;-63.4168;238
2020-03-16 20:13;Americas;Northern America;1;CAN;Canada;QC;;Quebec;;;;;8.522.800;50;0;0;https://www.openstreetmap.org/#map=5/52.9399/-73.5491&layers=T;52.9399;-73.5491;115
2020-03-16 20:13;Americas;Northern America;1;CAN;Canada;SK;;Saskatchewan;;;;;1.178.657;7;0;0;https://www.openstreetmap.org/#map=5/52.9399/-106.4509&layers=T;52.9399;-106.4509;189
2020-03-16 16:53;Americas;Northern America;299;GRL;Greenland;;;;;;;;56.081;1;0;0;https://www.openstreetmap.org/#map=5/71.7069/-42.6043&layers=T;71.7069;-42.6043;247
2020-03-16 00:22;Americas;Northern America;1;USA;United States;;X;;;;;;329.368.418;1;0;0;https://www.openstreetmap.org/#map=5/18.3358/-64.8963&layers=T;18.3358;-64.8963;267
2020-03-16 22:33;Americas;Northern America;1;USA;United States;AL;;Alabama;;;;;4.779.736;29;0;0;https://www.openstreetmap.org/#map=5/32.3182/-86.9023&layers=T;32.3182;-86.9023;137
2020-03-13 14:53;Americas;Northern America;1;USA;United States;AK;;Alaska;;;;;710.231;1;0;0;https://www.openstreetmap.org/#map=5/61.3707/-152.4044&layers=T;61.3707;-152.4044;265
2020-03-16 17:13;Americas;Northern America;1;USA;United States;AZ;;Arizona;;;;;6.392.017;18;0;1;https://www.openstreetmap.org/#map=5/33.7298/-111.4312&layers=T;33.7298;-111.4312;157
2020-03-16 17:13;Americas;Northern America;1;USA;United States;AR;;Arkansas;;;;;2.915.918;22;0;0;https://www.openstreetmap.org/#map=5/34.9697/-92.3731&layers=T;34.9697;-92.3731;146
2020-03-16 23:53;Americas;Northern America;1;USA;United States;CA;;California;;;;;37.253.956;557;7;6;https://www.openstreetmap.org/#map=5/36.1162/-119.6816&layers=T;36.1162;-119.6816;30
2020-03-16 23:53;Americas;Northern America;1;USA;United States;CO;;Colorado;;;;;5.029.196;160;1;0;https://www.openstreetmap.org/#map=5/39.0598/-105.3111&layers=T;39.0598;-105.3111;59
2020-03-16 20:13;Americas;Northern America;1;USA;United States;CT;;Connecticut;;;;;3.574.097;30;0;0;https://www.openstreetmap.org/#map=5/41.5978/-72.7554&layers=T;41.5978;-72.7554;134
2020-03-16 20:13;Americas;Northern America;1;USA;United States;DE;;Delaware;;;;;897.934;8;0;0;https://www.openstreetmap.org/#map=5/39.3185/-75.5071&layers=T;39.3185;-75.5071;184
2020-03-16 16:53;Americas;Northern America;1;USA;United States;EXT-1;;Diamond Princess;;;;;46;47;0;0;https://www.openstreetmap.org/#map=5/35.4437/139.6380&layers=T;35.4437;139.6380;118
2020-03-16 23:53;Americas;Northern America;1;USA;United States;DC;;District of Columbia;;;;;601.723;22;0;0;https://www.openstreetmap.org/#map=5/38.8974/-77.0268&layers=T;38.8974;-77.0268;147
2020-03-16 22:13;Americas;Northern America;1;USA;United States;FL;;Florida;;;;;18.801.310;155;5;0;https://www.openstreetmap.org/#map=5/27.7663/-81.6868&layers=T;27.7663;-81.6868;63
2020-03-16 16:53;Americas;Northern America;1;USA;United States;GA;;Georgia;;;;;9.687.653;121;1;0;https://www.openstreetmap.org/#map=5/33.0406/-83.6431&layers=T;33.0406;-83.6431;77
2020-03-16 17:13;Americas;Northern America;1;USA;United States;EXT-2;;Grand Princess;;;;;21;20;0;0;https://www.openstreetmap.org/#map=5/37.6489/-122.6655&layers=T;37.6489;-122.6655;152
2020-03-16 02:53;Americas;Northern America;1;USA;United States;HI;;Hawaii;;;;;1.360.301;7;0;0;https://www.openstreetmap.org/#map=5/21.0943/-157.4983&layers=T;21.0943;-157.4983;191
2020-03-15 18:20;Americas;Northern America;1;USA;United States;ID;;Idaho;;;;;1.567.582;5;0;0;https://www.openstreetmap.org/#map=5/44.2405/-114.4788&layers=T;44.2405;-114.4788;205
2020-03-16 22:13;Americas;Northern America;1;USA;United States;IL;;Illinois;;;;;12.830.632;105;0;2;https://www.openstreetmap.org/#map=5/40.3495/-88.9861&layers=T;40.3495;-88.9861;81
2020-03-16 22:33;Americas;Northern America;1;USA;United States;IN;;Indiana;;;;;6.483.802;25;1;0;https://www.openstreetmap.org/#map=5/39.8494/-86.2583&layers=T;39.8494;-86.2583;141
2020-03-16 23:53;Americas;Northern America;1;USA;United States;IA;;Iowa;;;;;3.046.355;23;0;0;https://www.openstreetmap.org/#map=5/42.0115/-93.2105&layers=T;42.0115;-93.2105;144
2020-03-16 17:13;Americas;Northern America;1;USA;United States;KS;;Kansas;;;;;2.853.118;11;1;0;https://www.openstreetmap.org/#map=5/38.5266/-96.7265&layers=T;38.5266;-96.7265;175
2020-03-16 18:33;Americas;Northern America;1;USA;United States;KY;;Kentucky;;;;;4.339.367;21;1;1;https://www.openstreetmap.org/#map=5/37.6681/-84.6701&layers=T;37.6681;-84.6701;149
2020-03-16 22:13;Americas;Northern America;1;USA;United States;LA;;Louisiana;;;;;4.533.372;136;3;0;https://www.openstreetmap.org/#map=5/31.1695/-91.8678&layers=T;31.1695;-91.8678;70
2020-03-16 18:14;Americas;Northern America;1;USA;United States;ME;;Maine;;;;;1.328.361;17;0;0;https://www.openstreetmap.org/#map=5/44.6939/-69.3819&layers=T;44.6939;-69.3819;161
2020-03-16 20:13;Americas;Northern America;1;USA;United States;MD;;Maryland;;;;;5.773.552;41;0;3;https://www.openstreetmap.org/#map=5/39.0639/-76.8021&layers=T;39.0639;-76.8021;121
2020-03-16 21:53;Americas;Northern America;1;USA;United States;MA;;Massachusetts;;;;;6.547.629;197;0;1;https://www.openstreetmap.org/#map=5/42.2302/-71.5301&layers=T;42.2302;-71.5301;50
2020-03-16 14:38;Americas;Northern America;1;USA;United States;MI;;Michigan;;;;;9.883.640;53;0;0;https://www.openstreetmap.org/#map=5/43.3266/-84.5361&layers=T;43.3266;-84.5361;110
2020-03-16 16:53;Americas;Northern America;1;USA;United States;MN;;Minnesota;;;;;5.303.925;54;0;0;https://www.openstreetmap.org/#map=5/45.6945/-93.9002&layers=T;45.6945;-93.9002;108
2020-03-16 22:33;Americas;Northern America;1;USA;United States;MS;;Mississippi;;;;;2.967.297;13;0;0;https://www.openstreetmap.org/#map=5/32.7416/-89.6787&layers=T;32.7416;-89.6787;169
2020-03-16 17:13;Americas;Northern America;1;USA;United States;MO;;Missouri;;;;;5.988.927;6;0;0;https://www.openstreetmap.org/#map=5/38.4561/-92.2884&layers=T;38.4561;-92.2884;198
2020-03-15 18:20;Americas;Northern America;1;USA;United States;MT;;Montana;;;;;989.415;7;0;0;https://www.openstreetmap.org/#map=5/46.9219/-110.4544&layers=T;46.9219;-110.4544;192
2020-03-16 17:13;Americas;Northern America;1;USA;United States;NE;;Nebraska;;;;;1.826.341;18;0;0;https://www.openstreetmap.org/#map=5/41.1254/-98.2681&layers=T;41.1254;-98.2681;158
2020-03-16 20:13;Americas;Northern America;1;USA;United States;NV;;Nevada;;;;;2.700.551;45;1;0;https://www.openstreetmap.org/#map=5/38.3135/-117.0554&layers=T;38.3135;-117.0554;120
2020-03-16 22:33;Americas;Northern America;1;USA;United States;NH;;New Hampshire;;;;;1.316.470;17;0;0;https://www.openstreetmap.org/#map=5/43.4525/-71.5639&layers=T;43.4525;-71.5639;162
2020-03-16 22:13;Americas;Northern America;1;USA;United States;NJ;;New Jersey;;;;;8.791.894;178;2;1;https://www.openstreetmap.org/#map=5/40.2989/-74.5210&layers=T;40.2989;-74.5210;52
2020-03-16 02:53;Americas;Northern America;1;USA;United States;NM;;New Mexico;;;;;2.059.179;17;0;0;https://www.openstreetmap.org/#map=5/34.8405/-106.2485&layers=T;34.8405;-106.2485;163
2020-03-16 21:53;Americas;Northern America;1;USA;United States;NY;;New York;;;;;19.378.102;967;10;0;https://www.openstreetmap.org/#map=5/42.1657/-74.9481&layers=T;42.1657;-74.9481;20
2020-03-16 23:53;Americas;Northern America;1;USA;United States;NC;;North Carolina;;;;;9.535.483;38;0;0;https://www.openstreetmap.org/#map=5/35.6301/-79.8064&layers=T;35.6301;-79.8064;125
2020-03-12 09:33;Americas;Northern America;1;USA;United States;ND;;North Dakota;;;;;672.591;1;0;0;https://www.openstreetmap.org/#map=5/47.5289/-99.7840&layers=T;47.5289;-99.7840;266
2020-03-16 20:13;Americas;Northern America;1;USA;United States;OH;;Ohio;;;;;11.536.504;50;0;0;https://www.openstreetmap.org/#map=5/40.3888/-82.7649&layers=T;40.3888;-82.7649;116
2020-03-16 18:14;Americas;Northern America;1;USA;United States;OK;;Oklahoma;;;;;3.751.351;10;0;0;https://www.openstreetmap.org/#map=5/35.5653/-96.9289&layers=T;35.5653;-96.9289;178
2020-03-16 02:33;Americas;Northern America;1;USA;United States;OR;;Oregon;;;;;3.831.074;39;1;0;https://www.openstreetmap.org/#map=5/44.5720/-122.0709&layers=T;44.5720;-122.0709;123
2020-03-16 20:13;Americas;Northern America;1;USA;United States;PA;;Pennsylvania;;;;;12.702.379;77;0;0;https://www.openstreetmap.org/#map=5/40.5908/-77.2098&layers=T;40.5908;-77.2098;90
2020-03-16 18:14;Americas;Northern America;1;USA;United States;RI;;Rhode Island;;;;;1.052.567;21;0;0;https://www.openstreetmap.org/#map=5/41.6809/-71.5118&layers=T;41.6809;-71.5118;150
2020-03-16 22:33;Americas;Northern America;1;USA;United States;SC;;South Carolina;;;;;4.625.364;33;1;0;https://www.openstreetmap.org/#map=5/33.8569/-80.9450&layers=T;33.8569;-80.9450;132
2020-03-16 20:13;Americas;Northern America;1;USA;United States;SD;;South Dakota;;;;;814.180;10;1;0;https://www.openstreetmap.org/#map=5/44.2998/-99.4388&layers=T;44.2998;-99.4388;179
2020-03-16 22:13;Americas;Northern America;1;USA;United States;TN;;Tennessee;;;;;6.346.105;52;0;0;https://www.openstreetmap.org/#map=5/35.7478/-86.6923&layers=T;35.7478;-86.6923;113
2020-03-16 23:53;Americas;Northern America;1;USA;United States;TX;;Texas;;;;;25.145.561;85;0;0;https://www.openstreetmap.org/#map=5/31.0545/-97.5635&layers=T;31.0545;-97.5635;88
2020-03-16 22:33;Americas;Northern America;1;USA;United States;UT;;Utah;;;;;2.763.885;39;0;0;https://www.openstreetmap.org/#map=5/40.1500/-111.8624&layers=T;40.1500;-111.8624;124
2020-03-16 17:13;Americas;Northern America;1;USA;United States;VT;;Vermont;;;;;625.741;12;0;0;https://www.openstreetmap.org/#map=5/44.0459/-72.7107&layers=T;44.0459;-72.7107;170
2020-03-16 22:13;Americas;Northern America;1;USA;United States;VA;;Virginia;;;;;8.001.024;49;1;0;https://www.openstreetmap.org/#map=5/37.7693/-78.1700&layers=T;37.7693;-78.1700;117
2020-03-16 23:53;Americas;Northern America;1;USA;United States;WA;;Washington;;;;;6.724.540;904;48;1;https://www.openstreetmap.org/#map=5/47.4009/-121.4905&layers=T;47.4009;-121.4905;23
2020-03-10 02:33;Americas;Northern America;1;USA;United States;WV;;West Virginia;;;;;1.852.994;0;0;0;https://www.openstreetmap.org/#map=5/38.4912/-80.9545&layers=T;38.4912;-80.9545;271
2020-03-16 20:13;Americas;Northern America;1;USA;United States;WI;;Wisconsin;;;;;5.686.986;47;0;1;https://www.openstreetmap.org/#map=5/44.2685/-89.6165&layers=T;44.2685;-89.6165;119
2020-03-15 02:53;Americas;Northern America;1;USA;United States;WY;;Wyoming;;;;;563.626;3;0;0;https://www.openstreetmap.org/#map=5/42.7560/-107.3025&layers=T;42.7560;-107.3025;220
2020-03-16 14:38;Americas;South America;54;ARG;Argentina;;;;;;;;44.938.712;56;2;1;https://www.openstreetmap.org/#map=5/-38.4161/-63.6167&layers=T;-38.4161;-63.6167;101
2020-03-16 14:38;Americas;South America;591;BOL;Bolivia;;;;;;;;11.469.896;11;0;0;https://www.openstreetmap.org/#map=5/-16.2902/-63.5887&layers=T;-16.2902;-63.5887;171
2020-03-16 02:33;Americas;South America;55;BRA;Brazil;;;;;;;;211.191.084;200;0;1;https://www.openstreetmap.org/#map=5/-14.2350/-51.9253&layers=T;-14.2350;-51.9253;49
2020-03-16 14:38;Americas;South America;56;CHL;Chile;;;;;;;;19.107.216;155;0;0;https://www.openstreetmap.org/#map=5/-35.6751/-71.5430&layers=T;-35.6751;-71.5430;61
2020-03-16 14:38;Americas;South America;57;COL;Colombia;;;;;;;;49.395.678;54;0;0;https://www.openstreetmap.org/#map=5/4.5709/-74.2973&layers=T;4.5709;-74.2973;107
2020-03-16 02:33;Americas;South America;593;ECU;Ecuador;;;;;;;;17.434.416;37;2;0;https://www.openstreetmap.org/#map=5/-1.8312/-78.1834&layers=T;-1.8312;-78.1834;126
2020-03-16 14:38;Americas;South America;594;GUF;French Guiana;;;;;;;;290.691;11;0;0;https://www.openstreetmap.org/#map=5/3.9339/-53.1258&layers=T;3.9339;-53.1258;174
2020-03-16 14:38;Americas;South America;594;GUF;French Guiana;;X;;;;;;290.691;5;0;0;https://www.openstreetmap.org/#map=5/4.0000/-53.0000&layers=T;4.0000;-53.0000;203
2020-03-15 18:20;Americas;South America;592;GUY;Guyana;;;;;;;;782.766;4;1;0;https://www.openstreetmap.org/#map=5/4.8604/-58.9302&layers=T;4.8604;-58.9302;209
2020-03-16 14:38;Americas;South America;595;PRY;Paraguay;;;;;;;;7.152.703;8;0;0;https://www.openstreetmap.org/#map=5/-23.4425/-58.4438&layers=T;-23.4425;-58.4438;183
2020-03-16 14:38;Americas;South America;51;PER;Peru;;;;;;;;32.131.400;86;0;0;https://www.openstreetmap.org/#map=5/-9.1900/-75.0152&layers=T;-9.1900;-75.0152;87
2020-03-14 16:33;Americas;South America;597;SUR;Suriname;;;;;;;;581.372;1;0;0;https://www.openstreetmap.org/#map=5/3.9193/-56.0278&layers=T;3.9193;-56.0278;261
